frequency	angle1	angle2	angle3
1.088116e-02	2.688560e-02	1.162291e-03	4.246609e-02
2.176231e-02	2.624395e-02	1.536191e-03	4.147177e-02
3.264347e-02	2.610842e-02	9.024964e-04	4.120491e-02
4.352462e-02	2.643429e-02	1.310054e-03	4.253201e-02
5.440578e-02	2.607111e-02	1.012823e-03	4.111962e-02
6.528694e-02	2.614300e-02	1.219808e-03	4.141566e-02
7.616809e-02	2.559963e-02	1.101829e-03	4.071446e-02
8.704925e-02	2.545887e-02	1.066687e-03	3.994056e-02
9.793040e-02	2.604539e-02	1.071391e-03	4.135053e-02
1.088116e-01	2.558858e-02	1.299467e-03	4.179847e-02
1.196927e-01	2.176718e-02	1.206219e-03	4.816108e-02
1.305739e-01	2.511607e-02	1.194205e-03	4.083899e-02
1.414550e-01	2.532806e-02	1.204204e-03	3.993872e-02
1.523362e-01	2.535666e-02	1.166953e-03	3.939015e-02
1.632173e-01	2.470324e-02	1.025055e-03	3.981191e-02
1.740985e-01	2.422898e-02	8.149556e-04	3.841447e-02
1.849797e-01	2.393562e-02	1.117801e-03	3.893546e-02
1.958608e-01	2.410584e-02	1.086586e-03	3.791570e-02
2.067420e-01	2.400616e-02	8.307971e-04	3.711610e-02
2.176231e-01	2.350554e-02	9.311363e-04	3.646873e-02
2.285043e-01	2.373180e-02	9.520008e-04	3.612782e-02
2.393854e-01	2.289865e-02	1.126424e-03	3.549777e-02
2.502666e-01	2.215458e-02	8.569860e-04	3.592905e-02
2.611477e-01	2.278785e-02	8.722654e-04	3.468653e-02
2.720289e-01	2.165888e-02	1.374336e-03	3.499498e-02
2.829101e-01	2.121992e-02	1.000765e-03	3.310915e-02
2.937912e-01	2.128999e-02	1.038354e-03	3.142102e-02
3.046724e-01	2.158362e-02	7.972011e-04	3.308301e-02
3.155535e-01	2.040428e-02	9.157366e-04	3.254636e-02
3.264347e-01	1.963399e-02	9.597325e-04	3.227563e-02
3.373158e-01	1.931027e-02	1.023233e-03	3.164668e-02
3.481970e-01	1.910684e-02	1.056154e-03	3.067531e-02
3.590781e-01	1.875627e-02	8.983727e-04	2.924759e-02
3.699593e-01	1.926601e-02	9.836615e-04	2.954838e-02
