frequency	angle1	angle2	angle3
1.490757e-02	5.892529e-03	8.558719e-03	9.426487e-04
2.981515e-02	3.288968e-03	3.859920e-03	2.385118e-03
4.472272e-02	8.099275e-03	1.647776e-03	6.317759e-04
5.963029e-02	1.017761e-02	3.107312e-03	5.748750e-04
7.453787e-02	9.319418e-03	2.555894e-03	9.313544e-04
8.944544e-02	8.628459e-03	3.727787e-03	7.282312e-04
1.043530e-01	6.256369e-03	3.020879e-03	4.909480e-04
1.192606e-01	9.227465e-03	1.294942e-03	8.522953e-04
1.341682e-01	1.048429e-02	2.629490e-03	1.175623e-03
1.490757e-01	8.116306e-03	2.891342e-03	7.631658e-04
1.639833e-01	3.830422e-03	3.610603e-03	2.089166e-04
1.788909e-01	6.945926e-03	2.896248e-03	9.388026e-04
1.937984e-01	9.046341e-03	3.717044e-03	3.822943e-04
2.087060e-01	8.712304e-03	4.244401e-03	5.237765e-04
2.236136e-01	4.883587e-03	2.446149e-03	1.768165e-04
2.385212e-01	6.363662e-03	2.473184e-03	8.370217e-04
2.534287e-01	8.464977e-03	4.240488e-03	5.758018e-04
2.683363e-01	9.530601e-03	4.510259e-03	4.713012e-04
2.832439e-01	7.702556e-03	4.657874e-03	1.029249e-03
2.981515e-01	2.739269e-03	4.776675e-03	7.284531e-04
3.130590e-01	6.862173e-03	4.257079e-03	7.561772e-04
3.279666e-01	1.066711e-02	6.925310e-03	7.422881e-04
3.428742e-01	7.961654e-03	6.511168e-03	6.257570e-04
3.577818e-01	3.179280e-03	1.027561e-02	1.242577e-03
3.726893e-01	5.894008e-03	6.345511e-03	1.501379e-03
3.875969e-01	7.872039e-03	4.816409e-03	2.809051e-03
4.025045e-01	8.124258e-03	5.887942e-03	1.493210e-03
4.174120e-01	5.322075e-03	6.395122e-03	1.060097e-03
4.323196e-01	4.274078e-03	7.470149e-03	4.994954e-04
4.472272e-01	7.592432e-03	8.327085e-03	4.875829e-04
4.621348e-01	9.814973e-03	1.173107e-02	7.163641e-04
4.770423e-01	7.325066e-03	1.128391e-02	1.472172e-03
4.919499e-01	5.484401e-03	9.150226e-03	2.026573e-03
5.068575e-01	1.267746e-02	8.001757e-03	1.041373e-03
5.217651e-01	1.979112e-02	1.182207e-02	1.721427e-03
5.366726e-01	1.645309e-02	1.097934e-02	1.617116e-03
5.515802e-01	9.539200e-03	1.227165e-02	1.630140e-03
5.664878e-01	3.349387e-03	1.250017e-02	1.911644e-03
5.813953e-01	1.166109e-02	1.626393e-02	1.827302e-03
5.963029e-01	1.455268e-02	1.388871e-02	1.660108e-03
6.112105e-01	1.223713e-02	1.622220e-02	1.656303e-03
6.261181e-01	2.712656e-03	1.731528e-02	2.746995e-03
6.410256e-01	8.890103e-03	2.078878e-02	2.030712e-03
6.559332e-01	1.646935e-02	2.160397e-02	2.985956e-03
6.708408e-01	1.652760e-02	2.265548e-02	1.999279e-03
6.857484e-01	7.696700e-03	1.737970e-02	1.602787e-03
7.006559e-01	2.949017e-03	1.960054e-02	2.359483e-03
7.155635e-01	1.270854e-02	2.614852e-02	2.838029e-03
7.304711e-01	2.330295e-02	3.641602e-02	3.356595e-03
7.453787e-01	1.834710e-02	4.412649e-02	4.351807e-03
7.602862e-01	4.137170e-03	3.388827e-02	3.293813e-03
7.751938e-01	1.865393e-02	5.303165e-02	5.190961e-03
7.901014e-01	2.349484e-02	4.671389e-02	4.622843e-03
8.050089e-01	3.789415e-02	8.399127e-02	7.472673e-03
8.199165e-01	2.782190e-02	8.634364e-02	8.824289e-03
8.348241e-01	3.453865e-02	1.090932e-01	1.006656e-02
8.497317e-01	5.029154e-02	1.261403e-01	1.136181e-02
8.646392e-01	8.490104e-02	2.165849e-01	1.822472e-02
8.795468e-01	3.690518e-01	1.000000e+00	8.260797e-02
