angle	peak_rank	frequency	amplitude
angle1	1	1.425431e+00	3.789312e-01
angle1	2	1.468956e+00	3.619495e-02
angle1	3	4.352462e-02	2.643429e-02
angle2	1	9.140171e-01	3.824535e-02
angle2	2	1.425431e+00	1.776932e-02
angle2	3	1.305739e+00	1.100342e-02
angle3	1	1.305739e+00	1.000000e+00
angle3	2	1.262214e+00	8.354845e-02
angle3	3	1.349263e+00	5.084598e-02
