angle	peak_rank	frequency	amplitude
angle1	1	1.168831e+00	1.000000e+00
angle1	2	1.246753e+00	3.682459e-02
angle1	3	1.064935e+00	3.663602e-02
angle2	1	8.181818e-01	8.238313e-01
angle2	2	7.532468e-01	3.740163e-02
angle2	3	7.012987e-01	1.841818e-02
angle3	1	1.181818e+00	5.579541e-01
angle3	2	1.155844e+00	7.401479e-02
angle3	3	8.181818e-01	3.443043e-02
