frequency	angle1	angle2	angle3
1.145239e+00	7.211781e-03	1.499846e-02	2.951119e-03
1.156692e+00	9.108398e-03	1.652957e-02	3.530612e-03
1.168144e+00	7.722404e-03	1.640002e-02	5.037133e-03
1.179596e+00	7.061620e-03	1.630553e-02	6.277292e-03
1.191049e+00	7.799355e-03	1.952988e-02	8.618715e-03
1.202501e+00	1.030305e-02	1.778155e-02	6.215548e-03
1.213954e+00	9.868302e-03	1.197869e-02	2.321531e-03
1.225406e+00	5.773232e-03	7.720931e-03	3.773107e-03
1.236858e+00	5.459228e-03	6.027594e-03	8.097992e-03
1.248311e+00	6.992205e-03	1.524514e-02	1.096253e-02
1.259763e+00	4.868272e-03	1.202751e-02	7.215056e-03
1.271216e+00	1.418238e-02	1.319771e-02	8.225415e-03
1.282668e+00	2.010026e-02	1.271358e-02	1.431227e-03
1.294120e+00	1.605448e-02	1.359148e-02	7.195860e-03
1.305573e+00	1.110116e-02	1.415506e-02	1.632016e-02
1.317025e+00	3.332249e-02	1.002432e-02	2.154949e-02
1.328478e+00	5.895525e-02	1.317900e-02	6.561635e-03
1.339930e+00	8.268583e-02	6.694073e-03	2.246837e-02
1.351382e+00	1.056077e-01	7.142952e-03	6.726843e-02
1.362835e+00	3.108507e-02	1.289127e-02	9.823819e-02
1.374287e+00	4.539262e-02	4.584025e-03	1.003077e-01
1.385739e+00	4.476450e-02	6.446625e-03	1.862457e-01
1.397192e+00	7.617149e-03	1.354962e-02	1.388046e-02
1.408644e+00	2.038974e-02	7.888948e-03	6.977449e-02
1.420097e+00	1.281433e-02	9.580746e-03	2.219675e-02
1.431549e+00	1.163009e-02	8.022016e-03	8.278430e-03
1.443001e+00	1.161846e-02	8.669948e-03	1.287709e-02
1.454454e+00	1.162286e-02	7.926050e-03	1.765859e-02
1.465906e+00	6.184682e-03	1.372123e-02	1.709511e-02
1.477359e+00	5.019500e-03	9.663508e-03	1.783632e-02
1.488811e+00	6.400908e-03	1.057048e-02	1.542012e-02
1.500263e+00	6.505773e-03	8.834944e-03	6.516656e-03
1.511716e+00	4.923725e-03	9.578690e-03	4.259601e-03
1.523168e+00	5.687224e-03	8.346239e-03	7.456863e-03
1.534621e+00	3.656335e-03	7.668251e-03	8.612011e-03
1.546073e+00	2.660410e-03	8.703167e-03	6.330893e-03
1.557525e+00	5.588910e-03	9.147959e-03	9.350329e-03
1.568978e+00	4.034386e-03	1.067203e-02	4.464061e-03
1.580430e+00	5.153968e-03	9.284731e-03	4.210968e-03
