angle	peak_rank	frequency	amplitude
angle1	1	1.455869e+00	1.000000e+00
angle1	2	1.492266e+00	1.609327e-01
angle1	3	1.328480e+00	9.716981e-02
angle2	1	9.463148e-01	1.269204e-01
angle2	2	1.455869e+00	3.272459e-02
angle2	3	1.000910e+00	1.335258e-02
angle3	1	1.455869e+00	3.131550e-01
angle3	2	1.492266e+00	1.807531e-01
angle3	3	9.463148e-01	4.993263e-02
