frequency	angle1	angle2	angle3
1.298701e+00	2.577225e-02	3.146830e-03	2.341854e-02
1.311688e+00	2.559958e-02	3.302998e-03	2.114657e-02
1.324675e+00	2.801667e-02	4.185758e-03	2.237169e-02
1.337662e+00	2.437782e-02	2.544204e-03	2.002743e-02
1.350649e+00	1.484625e-02	2.189372e-03	1.887833e-02
1.363636e+00	2.181344e-02	2.507628e-03	1.203268e-02
1.376623e+00	1.826827e-02	2.162367e-03	1.728599e-02
1.389610e+00	1.905191e-02	2.700882e-03	1.341353e-02
1.402597e+00	1.541642e-02	2.535843e-03	1.286553e-02
1.415584e+00	1.370369e-02	2.973909e-04	1.131995e-02
1.428571e+00	1.385180e-02	2.345493e-03	1.051070e-02
1.441558e+00	1.648650e-02	1.561466e-03	9.000617e-03
1.454545e+00	1.349474e-02	1.599706e-03	1.107593e-02
1.467532e+00	1.117237e-02	2.365798e-03	9.562561e-03
1.480519e+00	1.151459e-02	1.532675e-03	8.174247e-03
1.493506e+00	1.270220e-02	2.519065e-03	7.706917e-03
1.506494e+00	1.157014e-02	1.509057e-03	7.672182e-03
1.519481e+00	8.023100e-03	1.274764e-03	7.616844e-03
1.532468e+00	7.826021e-03	1.626632e-03	6.139777e-03
1.545455e+00	8.660808e-03	1.373172e-03	5.757611e-03
1.558442e+00	1.049224e-02	1.208614e-03	5.403830e-03
1.571429e+00	9.574572e-03	1.542790e-03	6.411097e-03
1.584416e+00	6.435033e-03	3.134007e-04	5.754159e-03
1.597403e+00	6.532555e-03	6.961786e-04	5.734829e-03
1.610390e+00	9.532221e-03	3.318015e-03	5.154840e-03
1.623377e+00	8.137458e-03	5.502794e-03	6.922164e-03
1.636364e+00	9.739077e-03	9.641591e-03	4.198290e-03
1.649351e+00	7.000028e-03	2.374075e-03	7.617614e-03
1.662338e+00	8.455223e-03	4.328721e-03	5.010966e-03
1.675325e+00	8.885556e-03	3.900529e-03	4.969005e-03
1.688312e+00	7.097487e-03	2.090316e-03	5.291035e-03
1.701299e+00	3.441804e-03	3.137196e-03	5.541841e-03
1.714286e+00	5.080306e-03	3.409310e-03	2.729126e-03
1.727273e+00	7.595731e-03	3.165474e-03	3.946024e-03
1.740260e+00	7.528525e-03	2.132474e-03	5.305495e-03
1.753247e+00	5.743806e-03	1.526753e-03	4.164343e-03
1.766234e+00	5.740025e-03	2.438062e-03	3.895433e-03
1.779221e+00	6.779875e-03	1.518936e-03	5.216663e-03
1.792208e+00	6.536994e-03	3.198295e-04	4.295286e-03
1.805195e+00	4.424964e-03	1.941189e-03	4.704496e-03
1.818182e+00	4.439931e-03	2.177233e-03	3.038331e-03
1.831169e+00	8.144071e-03	6.331536e-04	2.755694e-03
1.844156e+00	8.529628e-03	2.356036e-03	5.473630e-03
1.857143e+00	5.160678e-03	1.961400e-03	5.478878e-03
1.870130e+00	5.365527e-03	1.916609e-03	2.930609e-03
1.883117e+00	7.115026e-03	1.663240e-03	3.312174e-03
1.896104e+00	6.346752e-03	8.688455e-04	4.207087e-03
1.909091e+00	5.537252e-03	2.151640e-03	4.013204e-03
1.922078e+00	6.026659e-03	6.850544e-04	3.793215e-03
1.935065e+00	5.614237e-03	1.765846e-03	3.612904e-03
1.948052e+00	5.778869e-03	1.089743e-03	3.520540e-03
1.961039e+00	6.601709e-03	1.292694e-03	4.696956e-03
1.974026e+00	1.091206e-02	1.727962e-03	4.666771e-03
1.987013e+00	2.168977e-02	4.574649e-03	4.569486e-03
2.000000e+00	4.666190e-03	6.906153e-03	1.482612e-02
2.012987e+00	3.698628e-03	3.322652e-03	1.554014e-03
2.025974e+00	2.775115e-03	2.773102e-03	9.012308e-04
2.038961e+00	3.359504e-03	1.222384e-03	1.046497e-03
2.051948e+00	5.434883e-03	1.812916e-03	2.344665e-03
2.064935e+00	5.599099e-03	2.073538e-03	2.591951e-03
2.077922e+00	4.237691e-03	2.207969e-03	2.737682e-03
2.090909e+00	3.444315e-03	1.962939e-03	2.183729e-03
2.103896e+00	5.520451e-03	2.489809e-03	2.569039e-03
2.116883e+00	3.975445e-03	2.131231e-03	3.185259e-03
2.129870e+00	4.898068e-03	1.494699e-03	1.632547e-03
2.142857e+00	3.058335e-03	1.491299e-03	2.039838e-03
2.155844e+00	2.350912e-03	8.910617e-04	2.086485e-03
2.168831e+00	4.606023e-03	1.220805e-03	8.624421e-04
2.181818e+00	3.552344e-03	1.552972e-03	2.388465e-03
2.194805e+00	3.833599e-03	1.706513e-03	2.789539e-03
2.207792e+00	3.971420e-03	2.179491e-03	2.077617e-03
2.220779e+00	4.906852e-03	1.369441e-03	1.994453e-03
2.233766e+00	4.263604e-03	1.563066e-03	2.386916e-03
2.246753e+00	3.558709e-03	1.300928e-03	1.864197e-03
2.259740e+00	3.579728e-03	1.142212e-03	2.959462e-03
2.272727e+00	3.092041e-03	1.472815e-03	1.999045e-03
2.285714e+00	3.878142e-03	1.401719e-03	2.338176e-03
2.298701e+00	2.506575e-03	1.070185e-03	1.832030e-03
2.311688e+00	4.162984e-03	5.642498e-04	1.793148e-03
2.324675e+00	1.382074e-03	9.744735e-04	2.751420e-03
2.337662e+00	7.472823e-03	1.091941e-03	9.971792e-04
2.350649e+00	1.552224e-02	9.520576e-04	3.476867e-03
2.363636e+00	8.563415e-03	2.483583e-03	8.215503e-03
2.376623e+00	2.917174e-03	2.561971e-03	9.024930e-03
2.389610e+00	4.438983e-03	1.847583e-03	2.473948e-03
2.402597e+00	3.697802e-03	3.273644e-03	1.873282e-03
2.415584e+00	4.086281e-03	3.693929e-03	1.821237e-03
2.428571e+00	3.248312e-03	4.682839e-03	2.279790e-03
2.441558e+00	3.496732e-03	5.321418e-03	1.399819e-03
2.454545e+00	3.702077e-03	6.558595e-03	1.474554e-03
2.467532e+00	4.461333e-03	4.277168e-03	1.796096e-03
2.480519e+00	3.260709e-03	2.963221e-03	1.841097e-03
2.493506e+00	3.665019e-03	2.250515e-03	1.461537e-03
2.506494e+00	3.022515e-03	1.475064e-03	2.220362e-03
2.519481e+00	4.179287e-03	2.073141e-03	1.922121e-03
2.532468e+00	3.787357e-03	1.520912e-03	1.725788e-03
2.545455e+00	3.671245e-03	1.295605e-03	2.124831e-03
2.558442e+00	3.147099e-03	9.637782e-04	1.874996e-03
2.571429e+00	3.213854e-03	1.568252e-03	1.469169e-03
2.584416e+00	2.742976e-03	1.573209e-03	1.178201e-03
2.597403e+00	4.251399e-03	1.397560e-03	1.231474e-03
2.610390e+00	3.451447e-03	1.529162e-03	2.193249e-03
2.623377e+00	2.542702e-03	1.274650e-03	1.579172e-03
2.636364e+00	2.835967e-03	1.161301e-03	5.354728e-04
2.649351e+00	2.639755e-03	4.785841e-04	1.178889e-03
2.662338e+00	2.326050e-03	1.526008e-03	1.488281e-03
2.675325e+00	3.041283e-03	1.116445e-03	1.461142e-03
2.688312e+00	2.839355e-03	6.914215e-04	1.542417e-03
2.701299e+00	3.337503e-03	1.674328e-03	1.067391e-03
2.714286e+00	3.062978e-03	1.268242e-03	1.778431e-03
