angle	peak_rank	frequency	amplitude
angle1	1	8.795468e-01	3.690518e-01
angle1	2	1.386404e+00	2.927472e-01
angle1	3	1.296959e+00	5.631653e-02
angle2	1	8.795468e-01	1.000000e+00
angle2	2	9.838998e-01	6.879072e-02
angle2	3	7.751938e-01	5.303165e-02
angle3	1	8.795468e-01	8.260797e-02
angle3	2	1.282051e+00	5.858965e-02
angle3	3	1.386404e+00	7.609417e-03
