frequency	angle1	angle2	angle3
1.726043e+00	1.827217e-03	8.834120e-03	5.708231e-04
1.743303e+00	1.899159e-03	1.201850e-02	5.094988e-04
1.760563e+00	9.397132e-03	2.764833e-02	1.210531e-03
1.777824e+00	2.130477e-03	2.712607e-03	4.281699e-04
1.795084e+00	1.678347e-03	5.333932e-04	7.414931e-04
1.812345e+00	1.233839e-03	2.247246e-03	3.759024e-04
1.829605e+00	9.864968e-04	3.943149e-04	1.131409e-04
1.846866e+00	1.098139e-03	8.618600e-04	4.195734e-04
1.864126e+00	7.586238e-04	1.706001e-03	3.289999e-04
1.881386e+00	6.715654e-04	1.842821e-03	6.098118e-04
1.898647e+00	2.997515e-04	2.177245e-03	5.839956e-04
1.915907e+00	7.741290e-04	1.885980e-03	3.731131e-05
1.933168e+00	4.460795e-04	2.839342e-03	4.247949e-04
1.950428e+00	1.205669e-03	2.327053e-03	4.500061e-04
1.967688e+00	1.071059e-03	2.713669e-03	2.654088e-04
1.984949e+00	5.732811e-04	1.882975e-03	2.907893e-04
2.002209e+00	4.312071e-04	3.585713e-03	1.126930e-04
2.019470e+00	7.324404e-04	2.233086e-03	3.239288e-04
2.036730e+00	6.648435e-04	2.781468e-03	1.891872e-04
2.053991e+00	1.972503e-04	2.145100e-03	2.699505e-04
2.071251e+00	4.942358e-04	1.915990e-03	6.154285e-04
2.088511e+00	7.667452e-04	2.106826e-03	2.456643e-05
2.105772e+00	1.248460e-04	2.579483e-03	3.542646e-04
2.123032e+00	1.182495e-03	2.686414e-03	4.081250e-04
2.140293e+00	1.373885e-04	1.610695e-03	7.361253e-04
2.157553e+00	6.616093e-04	1.685709e-03	3.306260e-04
2.174814e+00	9.322241e-04	1.714507e-03	2.752064e-04
2.192074e+00	7.990419e-04	1.758509e-03	2.698379e-04
2.209334e+00	1.535742e-03	2.038662e-03	4.591645e-04
2.226595e+00	3.353055e-03	2.048658e-03	1.410476e-04
2.243855e+00	1.899888e-03	3.081937e-03	9.575907e-05
2.261116e+00	2.954844e-04	2.874598e-03	3.152648e-04
2.278376e+00	6.493182e-04	2.418772e-03	1.025101e-03
2.295637e+00	3.738018e-04	1.831865e-03	4.968828e-04
2.312897e+00	5.051963e-04	2.133716e-03	4.694490e-04
2.330157e+00	6.051322e-05	2.661489e-03	1.668404e-04
2.347418e+00	2.430064e-04	2.618806e-03	5.293857e-04
2.364678e+00	5.986685e-05	1.426375e-03	3.093789e-04
2.381939e+00	5.929335e-04	2.040360e-03	3.693744e-04
2.399199e+00	6.898955e-04	1.984581e-03	2.889137e-04
2.416460e+00	7.232879e-04	2.298565e-03	2.123180e-04
2.433720e+00	9.186842e-04	1.770822e-03	1.751758e-04
2.450980e+00	3.617701e-04	2.008677e-03	6.832132e-04
2.468241e+00	3.749996e-04	1.457866e-03	1.296637e-04
2.485501e+00	4.100822e-04	1.345354e-03	1.583538e-04
2.502762e+00	2.272197e-04	1.794722e-03	2.826189e-04
2.520022e+00	6.516481e-04	5.657088e-04	2.371108e-04
2.537283e+00	9.398754e-05	1.829658e-03	1.926965e-04
2.554543e+00	2.560293e-04	2.349014e-03	1.683931e-04
2.571803e+00	2.902732e-04	1.870108e-03	3.453122e-04
2.589064e+00	4.241434e-04	2.138628e-03	4.574382e-04
2.606324e+00	1.172306e-04	2.369580e-03	5.479341e-04
2.623585e+00	4.855604e-04	2.243347e-03	8.880288e-04
2.640845e+00	6.325503e-04	1.737460e-03	5.823612e-04
2.658105e+00	1.439112e-04	1.497830e-03	4.475991e-04
2.675366e+00	2.236625e-04	1.168532e-03	4.958580e-04
2.692626e+00	2.719867e-04	9.295054e-04	6.577161e-04
2.709887e+00	8.233897e-04	1.287520e-03	3.520746e-04
2.727147e+00	6.698676e-04	1.363336e-03	1.158059e-04
2.744408e+00	2.655818e-04	1.455461e-03	2.415967e-04
2.761668e+00	3.274641e-04	1.093351e-03	2.988383e-04
2.778928e+00	3.321567e-04	2.183786e-03	5.443896e-04
2.796189e+00	3.645973e-04	1.230466e-03	2.688612e-04
2.813449e+00	3.761170e-04	1.065367e-03	1.189065e-04
2.830710e+00	2.446581e-04	1.325640e-03	2.313725e-04
2.847970e+00	1.173183e-04	9.110375e-04	5.105945e-04
2.865231e+00	3.531224e-04	2.012382e-03	1.339020e-04
2.882491e+00	1.064425e-04	1.403352e-03	1.786758e-04
2.899751e+00	3.440086e-04	1.130968e-03	3.495634e-04
2.917012e+00	1.165677e-04	1.615734e-03	3.943103e-04
2.934272e+00	1.794910e-04	2.491255e-03	2.703280e-04
2.951533e+00	2.539089e-04	1.168683e-03	3.920014e-04
2.968793e+00	4.514004e-04	1.649193e-03	3.208328e-04
2.986054e+00	4.152807e-05	1.242141e-03	1.938631e-04
3.003314e+00	2.248234e-04	1.193888e-03	9.954031e-04
3.020574e+00	6.122090e-04	5.966544e-04	6.276821e-05
3.037835e+00	4.932257e-04	2.497760e-03	4.931185e-04
3.055095e+00	1.568104e-04	1.335708e-03	1.094737e-04
