frequency	angle1	angle2	angle3
1.881680e-02	1.903927e-03	6.394289e-03	3.018264e-03
3.763360e-02	8.809921e-04	3.816670e-03	1.663704e-04
5.645040e-02	1.189935e-03	4.054230e-03	1.082062e-04
7.526720e-02	9.187744e-04	4.485584e-03	4.445518e-04
9.408400e-02	5.719649e-04	5.157166e-03	1.474871e-04
1.129008e-01	9.737430e-04	5.490885e-03	5.085622e-04
1.317176e-01	1.393408e-03	5.825461e-03	5.850406e-04
1.505344e-01	1.855091e-03	8.126132e-03	4.200476e-04
1.693512e-01	6.150388e-04	4.735103e-03	3.147899e-04
1.881680e-01	1.045059e-03	4.799801e-03	2.850638e-04
2.069848e-01	1.377646e-03	5.705818e-03	3.200115e-04
2.258016e-01	9.608635e-04	4.942461e-03	3.180994e-04
2.446184e-01	6.372718e-04	5.545794e-03	1.908046e-04
2.634352e-01	2.720946e-03	6.644521e-03	3.079805e-04
2.822520e-01	2.027548e-03	6.628219e-03	1.302077e-04
3.010688e-01	9.896720e-04	6.500445e-03	3.291227e-04
3.198856e-01	8.578410e-04	5.372236e-03	5.661815e-04
3.387024e-01	5.284499e-04	4.360259e-03	2.946849e-04
3.575192e-01	5.391550e-04	4.939308e-03	4.470246e-04
3.763360e-01	2.685419e-03	8.971184e-03	7.497900e-04
3.951528e-01	2.661613e-03	9.160351e-03	4.832635e-04
4.139696e-01	4.593625e-04	5.199530e-03	5.399250e-04
4.327864e-01	2.038882e-03	6.157037e-03	4.287237e-04
4.516032e-01	2.845088e-03	9.507825e-03	3.556216e-04
4.704200e-01	2.445666e-03	8.847564e-03	2.083534e-04
4.892368e-01	1.206456e-03	1.007923e-02	1.910342e-04
5.080536e-01	5.821199e-03	8.884843e-03	6.576140e-04
5.268704e-01	4.404711e-03	9.318322e-03	5.481184e-04
5.456872e-01	2.871462e-03	7.249888e-03	1.255924e-04
5.645040e-01	3.045018e-03	9.304251e-03	2.430345e-04
5.833208e-01	3.693951e-03	1.128605e-02	1.480335e-04
6.021376e-01	3.149177e-03	9.942788e-03	2.776607e-04
6.209544e-01	3.564679e-03	1.200225e-02	4.789140e-04
6.397712e-01	4.313303e-03	1.177059e-02	1.934816e-04
6.585880e-01	4.448534e-03	1.403956e-02	4.325367e-04
6.774048e-01	5.602667e-03	1.609846e-02	4.046979e-04
6.962216e-01	5.385347e-03	1.571653e-02	6.933208e-04
7.150384e-01	5.561059e-03	1.694480e-02	3.238177e-04
7.338552e-01	5.592803e-03	1.604824e-02	5.272858e-04
7.526720e-01	9.176888e-03	2.641737e-02	1.045481e-03
7.714888e-01	1.026808e-02	3.177985e-02	9.376973e-04
7.903056e-01	1.480441e-02	4.143441e-02	1.401255e-03
8.091224e-01	1.830571e-02	5.106485e-02	1.521101e-03
8.279392e-01	1.519651e-02	4.159945e-02	4.851724e-04
8.467560e-01	6.072362e-02	1.654253e-01	5.221532e-03
8.655728e-01	3.718306e-01	1.000000e+00	2.306683e-02
8.843896e-01	5.369142e-02	1.413382e-01	3.082336e-03
9.032064e-01	3.028298e-02	7.648666e-02	2.437486e-03
9.220232e-01	8.411019e-03	2.033070e-02	6.980260e-04
9.408400e-01	1.194145e-02	2.822319e-02	8.309755e-04
9.596568e-01	1.249428e-02	3.143572e-02	1.158224e-03
9.784736e-01	9.808565e-03	1.983370e-02	9.138227e-04
9.972904e-01	9.422461e-03	2.058092e-02	9.063858e-04
1.016107e+00	6.540998e-03	1.294915e-02	5.813121e-04
1.034924e+00	5.960330e-03	1.061325e-02	5.854316e-04
1.053741e+00	8.340788e-03	1.750733e-02	6.367365e-04
1.072558e+00	6.325319e-03	1.162469e-02	8.917355e-04
1.091374e+00	5.032003e-03	7.287097e-03	2.821365e-04
1.110191e+00	5.426900e-03	8.853736e-03	3.480353e-04
1.129008e+00	5.865135e-03	9.453571e-03	1.174191e-03
1.147825e+00	6.661702e-03	1.083565e-02	1.148507e-03
1.166642e+00	6.088755e-03	7.662210e-03	5.813091e-04
1.185458e+00	5.971494e-03	5.065415e-03	1.295955e-03
1.204275e+00	7.380487e-03	7.332223e-03	5.611606e-04
1.223092e+00	7.335102e-03	7.276787e-03	1.284463e-03
1.241909e+00	7.528204e-03	5.517937e-03	2.243436e-03
1.260726e+00	8.287069e-03	6.634064e-03	1.486038e-03
1.279542e+00	1.153539e-02	6.977891e-03	5.451390e-04
1.298359e+00	1.542584e-02	6.054901e-03	1.718994e-04
1.317176e+00	1.560447e-02	1.544751e-03	8.151723e-04
1.335993e+00	2.243629e-02	3.369875e-03	1.003775e-03
1.354810e+00	7.406830e-02	4.812287e-03	6.619820e-04
1.373626e+00	5.527229e-02	8.270230e-03	1.237400e-04
1.392443e+00	2.775558e-02	5.432570e-03	5.555737e-04
1.411260e+00	1.406033e-02	3.437918e-03	3.354836e-04
1.430077e+00	5.426627e-03	5.512274e-03	1.469813e-04
1.448894e+00	6.295557e-03	3.821286e-03	6.751649e-04
1.467710e+00	4.940442e-03	4.838316e-03	5.509086e-04
1.486527e+00	5.397057e-03	3.091620e-03	1.745457e-04
1.505344e+00	3.916177e-03	5.340537e-03	1.628607e-04
1.524161e+00	2.807317e-03	5.225497e-03	4.726026e-05
1.542978e+00	1.996464e-03	3.134580e-03	4.033189e-04
1.561794e+00	2.566569e-03	3.164425e-03	2.421235e-04
1.580611e+00	1.525524e-03	4.942755e-03	3.980418e-04
1.599428e+00	1.073526e-03	4.782088e-03	6.384785e-04
1.618245e+00	9.987284e-04	3.827525e-03	4.319340e-04
1.637062e+00	1.273376e-03	4.604003e-03	3.772972e-04
1.655878e+00	2.880735e-04	6.410903e-03	2.140016e-04
1.674695e+00	8.704075e-04	6.340997e-03	1.625840e-04
1.693512e+00	1.051101e-03	3.604327e-03	5.791993e-04
1.712329e+00	2.543978e-03	1.270148e-02	2.470369e-03
1.731146e+00	1.036948e-02	2.666348e-02	4.245411e-04
1.749962e+00	3.391159e-03	5.938800e-03	1.424925e-03
1.768779e+00	2.523226e-03	2.829917e-03	9.425668e-04
1.787596e+00	1.435305e-03	2.647930e-03	7.555487e-04
1.806413e+00	1.880232e-03	2.843885e-03	6.398572e-04
1.825230e+00	1.258916e-03	2.926664e-03	3.248808e-04
1.844046e+00	1.254182e-03	2.442314e-03	6.228815e-04
1.862863e+00	1.187949e-03	6.221383e-04	3.673566e-04
1.881680e+00	1.690117e-03	1.758874e-03	5.234506e-05
1.900497e+00	6.879528e-04	2.413423e-03	2.816792e-04
1.919314e+00	1.270424e-03	1.124545e-03	3.393471e-04
1.938130e+00	1.326933e-03	2.710316e-03	3.713782e-04
1.956947e+00	6.902739e-04	2.663506e-03	1.929538e-04
1.975764e+00	6.393779e-04	2.279482e-03	2.957321e-04
1.994581e+00	1.142349e-03	9.569046e-04	5.732830e-04
2.013398e+00	4.391981e-04	2.190227e-03	2.903565e-04
2.032214e+00	1.019267e-04	3.160291e-03	1.674823e-04
2.051031e+00	1.359406e-03	2.495931e-03	2.716479e-04
2.069848e+00	6.884574e-04	1.309866e-03	7.458241e-04
2.088665e+00	7.741752e-04	8.467062e-04	1.968981e-05
2.107482e+00	1.245208e-03	2.503437e-03	5.859420e-04
2.126298e+00	1.339849e-03	1.645437e-03	2.830286e-04
2.145115e+00	1.155881e-03	7.724366e-04	1.896857e-04
2.163932e+00	6.061554e-04	2.053006e-03	6.376535e-04
2.182749e+00	1.182877e-03	1.917892e-03	3.243778e-04
2.201566e+00	2.248473e-03	1.991868e-03	7.753753e-05
2.220382e+00	4.868051e-03	1.442084e-03	4.602148e-04
2.239199e+00	1.868568e-03	1.242230e-03	5.266087e-04
2.258016e+00	9.433821e-04	1.813029e-03	7.677191e-04
2.276833e+00	8.399685e-04	1.722658e-03	1.917224e-04
2.295650e+00	3.002721e-04	2.047880e-03	3.037494e-04
2.314466e+00	3.523245e-04	1.591100e-03	1.024485e-04
2.333283e+00	2.565486e-04	8.410072e-04	3.847337e-04
2.352100e+00	6.499864e-04	1.621847e-03	2.475177e-04
2.370917e+00	4.783151e-04	1.221440e-03	5.649375e-04
2.389734e+00	2.439603e-04	8.547307e-04	6.712807e-04
2.408550e+00	3.424896e-04	1.453139e-03	1.795654e-04
2.427367e+00	5.753219e-04	1.348728e-03	3.470860e-04
2.446184e+00	5.384823e-04	1.760347e-03	4.781817e-04
2.465001e+00	3.679665e-04	2.048989e-03	4.440076e-04
2.483818e+00	3.421029e-04	2.099793e-03	1.749695e-04
