angle	peak_rank	frequency	amplitude
angle1	1	1.364416e+00	5.872365e-01
angle1	2	1.325433e+00	5.723739e-02
angle1	3	1.266958e+00	2.559492e-02
angle2	1	8.771246e-01	7.858149e-02
angle2	2	1.364416e+00	2.850266e-02
angle2	3	9.550912e-01	7.349685e-03
angle3	1	1.227974e+00	1.000000e+00
angle3	2	1.325433e+00	5.171965e-02
angle3	3	1.130516e+00	4.661558e-02
