angle	peak_rank	frequency	amplitude
angle1	1	8.655728e-01	3.718306e-01
angle1	2	1.354810e+00	7.406830e-02
angle1	3	8.091224e-01	1.830571e-02
angle2	1	8.655728e-01	1.000000e+00
angle2	2	8.091224e-01	5.106485e-02
angle2	3	9.596568e-01	3.143572e-02
angle3	1	8.655728e-01	2.306683e-02
angle3	2	3.462291e+00	3.343211e-03
angle3	3	1.712329e+00	2.470369e-03
