angle	peak_rank	frequency	amplitude
angle1	1	8.703818e-01	3.720736e-01
angle1	2	1.351382e+00	1.056077e-01
angle1	3	9.047390e-01	7.593331e-02
angle2	1	8.703818e-01	1.000000e+00
angle2	2	9.047390e-01	2.105254e-01
angle2	3	8.131199e-01	1.211615e-01
angle3	1	8.703818e-01	3.704442e-01
angle3	2	1.385739e+00	1.862457e-01
angle3	3	9.047390e-01	7.580971e-02
