frequency	angle1	angle2	angle3
1.949166e-02	2.812877e-03	1.065218e-03	4.335496e-03
3.898332e-02	2.965484e-03	9.131593e-04	2.735989e-03
5.847497e-02	1.744963e-03	5.090388e-04	6.430665e-03
7.796663e-02	2.938670e-03	2.729427e-04	4.058042e-03
9.745829e-02	3.039576e-03	1.025407e-03	4.970222e-03
1.169499e-01	3.024447e-03	6.412724e-04	5.362469e-03
1.364416e-01	8.829683e-03	4.638856e-04	3.908329e-03
1.559333e-01	3.480469e-03	5.470865e-04	3.961451e-03
1.754249e-01	2.156097e-03	9.751519e-04	4.571094e-03
1.949166e-01	2.835999e-03	5.848081e-04	5.045391e-03
2.144082e-01	2.257946e-03	5.385301e-04	5.693243e-03
2.338999e-01	2.135236e-03	1.020353e-03	7.379182e-03
2.533915e-01	2.409494e-03	6.192386e-04	6.308764e-03
2.728832e-01	3.588865e-03	5.658244e-04	3.415473e-03
2.923749e-01	2.544050e-03	8.187652e-04	8.303835e-03
3.118665e-01	2.792646e-03	1.295944e-03	6.656412e-03
3.313582e-01	2.794673e-03	1.034383e-03	8.723522e-03
3.508498e-01	2.937774e-03	8.033877e-04	1.903916e-02
3.703415e-01	3.946422e-03	1.236493e-03	1.115646e-02
3.898332e-01	3.838274e-03	1.457168e-03	2.744992e-03
4.093248e-01	2.556729e-03	1.245972e-03	3.077833e-03
4.288165e-01	4.774252e-03	1.317087e-03	4.678304e-03
4.483081e-01	3.583178e-03	1.756776e-03	2.554234e-03
4.677998e-01	5.157122e-03	1.949812e-03	5.401959e-03
4.872914e-01	1.309571e-02	1.017839e-03	5.299071e-03
5.067831e-01	4.576236e-03	1.670870e-03	2.944282e-03
5.262748e-01	1.648109e-03	1.396539e-03	3.779346e-03
5.457664e-01	2.916558e-03	1.511032e-03	6.010741e-03
5.652581e-01	3.592566e-03	1.480912e-03	4.319458e-03
5.847497e-01	3.215542e-03	1.554495e-03	5.290859e-03
6.042414e-01	4.286120e-03	1.345949e-03	5.729205e-03
6.237330e-01	4.246162e-03	1.825230e-03	4.224831e-03
6.432247e-01	2.340698e-03	1.514612e-03	5.421661e-03
6.627164e-01	1.955438e-03	2.764117e-03	7.036414e-03
6.822080e-01	4.116683e-03	1.982876e-03	7.851785e-03
7.016997e-01	3.828606e-03	2.917341e-03	1.171044e-02
7.211913e-01	3.705275e-03	2.980645e-03	7.274382e-03
7.406830e-01	3.427134e-03	3.733251e-03	1.002617e-02
7.601746e-01	3.861845e-03	4.818250e-03	9.905118e-03
7.796663e-01	3.989643e-03	5.475741e-03	9.843984e-03
7.991580e-01	6.738151e-03	8.397066e-03	5.096825e-03
8.186496e-01	6.165901e-03	9.566020e-03	8.413814e-03
8.381413e-01	1.089810e-02	1.340378e-02	1.538662e-02
8.576329e-01	1.995439e-02	4.160758e-02	1.621180e-02
8.771246e-01	2.430953e-02	7.858149e-02	1.559864e-02
8.966162e-01	3.850120e-03	2.368088e-02	1.548004e-02
9.161079e-01	2.459439e-03	1.203631e-02	1.334801e-02
9.355996e-01	2.724681e-03	6.910243e-03	1.338213e-02
9.550912e-01	2.340534e-03	7.349685e-03	2.200604e-02
9.745829e-01	4.068113e-03	5.604842e-03	1.531169e-02
9.940745e-01	5.735720e-03	5.006504e-03	2.006225e-02
1.013566e+00	6.648251e-03	4.552682e-03	1.552462e-02
1.033058e+00	4.711146e-03	3.636532e-03	2.359024e-02
1.052550e+00	2.772353e-03	3.155882e-03	2.000562e-02
1.072041e+00	4.503524e-03	2.863673e-03	3.054455e-02
1.091533e+00	1.073340e-02	3.107673e-03	3.022580e-02
1.111024e+00	7.687078e-03	1.805798e-03	2.985338e-02
1.130516e+00	9.043621e-03	2.137229e-03	4.661558e-02
1.150008e+00	5.708722e-03	1.954984e-03	3.437560e-02
1.169499e+00	8.109290e-03	2.015987e-03	9.346716e-02
1.188991e+00	1.370046e-02	1.691358e-03	1.095267e-01
1.208483e+00	8.961417e-03	1.770494e-03	1.294525e-01
1.227974e+00	2.153399e-02	2.508407e-03	1.000000e+00
1.247466e+00	1.918658e-02	2.475308e-03	2.471413e-01
1.266958e+00	2.559492e-02	2.729670e-03	1.583307e-01
1.286449e+00	1.960635e-02	2.298425e-03	1.021735e-01
1.305941e+00	5.249218e-02	4.233610e-03	3.473185e-02
1.325433e+00	5.723739e-02	4.037966e-03	5.171965e-02
1.344924e+00	4.365828e-02	3.278861e-03	3.521588e-02
1.364416e+00	5.872365e-01	2.850266e-02	3.775338e-02
1.383908e+00	1.240172e-01	4.785401e-03	3.788394e-02
1.403399e+00	6.050804e-02	2.000445e-03	2.783429e-02
1.422891e+00	3.355486e-02	9.973452e-04	3.057729e-02
1.442383e+00	1.860843e-02	1.142881e-03	2.320397e-02
1.461874e+00	1.920997e-02	4.632785e-04	2.813245e-02
1.481366e+00	1.299757e-02	6.981504e-04	1.876473e-02
1.500858e+00	7.893753e-03	6.909088e-04	2.448706e-02
1.520349e+00	2.166786e-02	5.848495e-04	1.713904e-02
