frequency	angle1	angle2	angle3
1.819836e+00	1.690048e-02	1.249542e-03	9.952902e-04
1.838035e+00	9.109305e-03	3.939381e-04	3.873627e-03
1.856233e+00	2.173384e-02	8.176886e-04	3.276225e-03
1.874431e+00	1.417016e-02	1.006378e-03	1.368082e-03
1.892630e+00	2.058538e-02	3.659986e-03	2.714476e-04
1.910828e+00	1.462845e-02	5.515341e-04	1.033511e-03
1.929026e+00	1.330086e-02	8.212564e-04	1.112014e-03
1.947225e+00	1.696701e-02	9.554124e-04	5.284790e-04
1.965423e+00	1.867038e-02	7.407670e-04	9.124958e-04
1.983621e+00	1.147890e-02	1.650099e-03	2.185954e-03
2.001820e+00	1.503128e-02	3.498021e-04	2.674444e-03
2.020018e+00	1.316680e-02	7.805235e-04	1.538543e-03
2.038217e+00	1.779569e-02	1.074861e-03	1.562290e-03
2.056415e+00	1.074944e-02	1.874522e-04	1.458579e-03
2.074613e+00	1.339950e-02	6.809641e-04	2.969955e-04
2.092812e+00	1.219572e-02	4.519963e-04	1.391202e-03
2.111010e+00	1.402142e-02	4.477760e-04	1.202513e-03
2.129208e+00	1.099976e-02	8.516263e-04	1.494706e-03
2.147407e+00	9.849771e-03	5.703955e-04	8.678784e-04
2.165605e+00	1.053227e-02	6.647278e-04	9.123200e-04
2.183803e+00	1.008251e-02	3.365134e-04	5.334177e-04
2.202002e+00	1.078077e-02	3.389640e-04	9.875818e-04
2.220200e+00	1.217813e-02	9.356393e-04	9.636960e-04
2.238399e+00	7.460489e-03	2.372836e-04	7.794242e-04
2.256597e+00	4.777646e-03	4.970065e-04	1.628552e-03
2.274795e+00	5.768245e-03	6.402653e-04	1.239684e-03
2.292994e+00	1.316406e-02	5.755529e-04	1.784972e-03
2.311192e+00	8.018968e-03	1.223852e-03	7.472357e-04
2.329390e+00	9.345134e-03	1.779293e-03	2.319859e-03
2.347589e+00	7.316075e-03	1.082789e-03	2.099050e-03
2.365787e+00	6.596918e-03	1.260386e-03	2.043789e-03
2.383985e+00	1.281369e-02	7.510697e-04	4.658030e-03
2.402184e+00	2.984912e-02	1.798004e-03	8.062426e-03
2.420382e+00	8.098254e-03	1.481865e-04	2.870506e-03
2.438581e+00	9.938083e-03	7.000885e-04	3.985870e-03
2.456779e+00	9.613862e-03	2.324269e-04	1.464025e-03
2.474977e+00	9.466722e-03	5.570922e-05	3.155644e-04
2.493176e+00	9.613990e-03	4.456463e-04	5.006939e-04
2.511374e+00	9.990355e-03	1.076882e-03	4.061801e-04
2.529572e+00	7.190939e-03	4.320229e-04	1.042681e-03
2.547771e+00	9.236117e-03	9.707629e-04	3.360084e-04
2.565969e+00	6.829664e-03	1.576310e-03	4.963123e-04
2.584167e+00	9.649274e-03	1.482989e-04	9.531948e-04
2.602366e+00	8.208506e-03	4.523116e-04	6.534876e-04
2.620564e+00	8.393540e-03	7.215060e-04	8.951490e-04
2.638763e+00	8.302864e-03	7.648356e-04	7.500890e-04
2.656961e+00	8.389647e-03	4.508586e-04	1.186423e-04
2.675159e+00	7.383133e-03	7.057318e-04	7.587025e-04
2.693358e+00	1.007114e-02	1.423114e-04	5.359545e-04
2.711556e+00	9.072536e-03	1.391439e-03	4.549104e-04
2.729754e+00	8.853505e-03	1.556968e-04	5.228470e-04
2.747953e+00	1.086859e-02	1.577795e-04	4.065791e-04
2.766151e+00	9.370688e-03	4.354721e-04	1.026929e-03
2.784349e+00	1.007356e-02	1.738787e-04	1.238109e-03
2.802548e+00	9.589929e-03	1.014411e-03	2.183277e-04
2.820746e+00	8.054527e-03	8.347352e-04	7.406629e-04
2.838944e+00	7.687827e-03	8.045743e-04	3.364350e-04
2.857143e+00	7.045897e-03	5.216292e-04	8.569561e-04
2.875341e+00	5.148611e-03	1.266008e-04	1.544900e-03
2.893540e+00	7.311132e-03	6.531389e-04	8.426814e-04
2.911738e+00	1.188625e-03	3.416614e-04	6.117041e-04
2.929936e+00	5.849473e-03	1.527040e-03	1.168628e-03
2.948135e+00	9.628824e-03	9.286846e-04	1.836561e-03
2.966333e+00	3.800279e-03	8.188256e-04	7.950578e-04
2.984531e+00	6.679327e-03	6.033453e-04	9.664389e-04
3.002730e+00	6.093037e-03	8.063256e-04	8.904234e-04
3.020928e+00	5.286322e-03	7.740606e-04	7.128243e-04
3.039126e+00	7.864582e-03	6.884371e-04	6.558041e-04
3.057325e+00	7.482891e-03	2.290330e-04	5.483839e-04
3.075523e+00	5.792980e-03	3.412335e-04	2.974917e-04
3.093722e+00	8.812450e-03	1.434857e-04	7.088123e-04
3.111920e+00	5.163313e-03	7.510715e-04	1.009030e-03
3.130118e+00	4.560439e-03	8.061660e-04	3.543719e-04
3.148317e+00	5.238599e-03	7.642326e-04	5.768962e-04
3.166515e+00	7.218720e-03	6.590738e-04	1.266742e-03
3.184713e+00	6.294474e-03	2.047849e-04	4.559870e-04
3.202912e+00	5.547283e-03	3.806700e-04	5.420874e-04
3.221110e+00	4.930197e-03	4.293873e-04	8.828900e-04
3.239308e+00	5.244627e-03	4.979490e-04	1.419907e-04
3.257507e+00	5.305980e-03	3.149176e-04	6.582914e-04
3.275705e+00	8.546577e-03	1.126247e-03	7.426634e-04
3.293904e+00	6.803634e-03	3.448893e-04	1.093410e-03
3.312102e+00	4.951367e-03	1.184113e-03	1.147127e-03
3.330300e+00	5.341517e-03	7.749850e-04	3.275652e-04
3.348499e+00	8.751664e-03	3.796155e-04	1.212822e-03
3.366697e+00	4.616964e-03	3.478667e-04	1.247034e-03
3.384895e+00	3.073596e-03	9.617320e-04	8.769522e-04
3.403094e+00	4.077045e-03	1.213421e-04	1.033457e-03
3.421292e+00	4.064762e-03	9.765323e-04	1.414315e-03
3.439490e+00	4.714900e-03	7.658055e-04	6.081175e-04
3.457689e+00	4.954835e-03	2.339148e-04	9.144629e-04
3.475887e+00	5.002047e-03	4.162307e-04	2.888614e-04
3.494086e+00	4.962079e-03	4.739749e-04	2.357086e-04
3.512284e+00	5.925554e-03	3.125597e-04	9.658914e-05
3.530482e+00	5.153691e-03	1.521520e-04	9.632915e-04
3.548681e+00	5.664391e-03	8.355566e-04	1.327274e-03
3.566879e+00	4.878008e-03	8.328461e-04	2.038774e-04
3.585077e+00	5.720900e-03	6.459196e-04	5.470577e-04
3.603276e+00	5.095567e-03	8.780034e-04	4.147623e-04
3.621474e+00	5.675124e-03	2.625068e-04	8.004849e-04
3.639672e+00	6.122282e-03	8.987694e-04	3.324131e-04
3.657871e+00	3.749652e-03	6.661293e-04	4.908352e-04
3.676069e+00	5.523886e-03	6.012520e-04	5.379512e-04
3.694268e+00	4.160239e-03	4.932019e-04	2.869552e-04
3.712466e+00	5.275394e-03	2.621890e-04	5.917878e-04
3.730664e+00	4.843662e-03	5.366112e-04	1.105929e-03
3.748863e+00	4.046475e-03	6.355679e-04	9.867555e-04
3.767061e+00	4.982327e-03	6.301118e-04	1.078919e-03
3.785259e+00	5.232317e-03	3.097622e-04	6.196312e-04
3.803458e+00	4.806717e-03	4.861819e-04	1.704227e-04
3.821656e+00	4.962902e-03	7.674303e-04	1.721644e-04
3.839854e+00	4.487976e-03	2.902122e-04	5.381728e-04
