#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	5.4	-2.52	15.3
0.053	5.4	-2.52	15.3
0.105	5.4	-2.52	15.12
0.159	5.4	-2.52	14.94
0.212	5.58	-2.52	14.76
0.267	5.76	-2.7	14.58
0.32	5.76	-2.7	14.58
0.373	5.76	-2.88	14.4
0.426	5.76	-2.88	14.4
0.477	5.58	-3.06	14.4
0.533	5.58	-3.06	14.4
0.587	5.58	-3.24	14.4
0.641	5.58	-3.24	14.4
0.695	5.58	-3.24	14.58
0.748	5.94	-3.24	14.4
0.802	6.12	-3.24	14.4
0.852	6.3	-3.24	14.4
0.906	6.48	-3.06	14.58
0.957	6.48	-2.88	14.58
1.011	6.3	-2.88	14.76
1.063	6.3	-2.7	14.76
1.117	6.3	-2.52	14.76
1.171	6.3	-2.52	14.76
1.224	6.3	-2.52	14.76
1.275	6.3	-2.52	14.58
1.327	6.48	-2.52	14.58
1.383	6.48	-2.52	14.58
1.434	6.48	-2.7	14.58
1.486	6.3	-2.7	14.58
1.541	6.12	-2.88	14.58
1.593	5.94	-3.06	14.4
1.648	5.76	-3.42	14.4
1.699	5.4	-3.78	14.4
1.752	5.04	-3.96	14.4
1.806	4.86	-4.32	14.4
1.859	4.86	-4.86	14.22
1.912	4.86	-5.22	14.22
1.967	5.04	-5.58	14.22
2.02	5.22	-5.94	14.22
2.076	5.22	-6.12	14.04
2.132	5.22	-6.3	14.04
2.186	5.22	-6.48	14.04
2.242	5.22	-6.48	14.04
2.296	5.22	-6.48	14.22
2.353	5.4	-6.48	14.22
2.409	5.58	-6.48	14.22
2.464	5.58	-6.3	14.04
2.517	5.58	-6.3	14.04
2.573	5.58	-6.12	14.04
2.63	5.4	-6.12	13.86
2.683	5.58	-6.12	13.86
2.736	5.58	-6.12	13.86
2.791	5.76	-6.12	14.04
2.848	6.12	-6.3	14.04
2.901	6.12	-6.48	14.04
2.956	6.12	-6.66	13.86
3.012	6.12	-7.02	13.86
3.067	5.94	-7.2	13.68
3.12	5.76	-7.2	13.68
3.175	5.58	-7.2	13.5
3.229	5.4	-7.2	13.5
3.283	5.4	-7.2	13.68
3.335	5.58	-7.02	13.68
3.388	5.76	-6.84	13.86
3.441	5.76	-6.66	13.86
3.496	5.94	-6.3	14.04
3.549	5.94	-6.12	14.04
3.604	5.94	-5.94	14.22
3.657	5.94	-5.76	14.22
3.712	5.94	-5.76	14.4
3.764	5.94	-5.76	14.58
3.816	5.76	-5.76	14.76
3.869	5.94	-5.76	14.94
3.922	5.94	-5.94	15.12
3.974	6.3	-6.12	15.48
4.027	6.3	-6.3	15.3
4.081	6.3	-6.48	12.42
4.136	5.4	-6.48	7.38
4.189	3.06	-5.76	0.36
4.244	0	-4.5	-7.02
4.303	-3.6	-2.7	-14.04
4.359	-6.48	-0.9	-18.18
4.418	-8.46	1.08	-19.44
4.474	-8.64	2.88	-17.28
4.529	-7.2	4.32	-12.24
4.587	-4.14	5.4	-5.04
4.643	-0.36	5.94	2.7
4.698	3.42	5.94	9.18
4.748	6.48	5.76	13.86
4.799	8.64	5.04	16.56
4.85	9.36	3.96	16.2
4.903	8.46	2.88	13.32
4.953	6.3	1.44	8.1
5.005	2.7	0	1.26
5.056	-1.08	-1.26	-6.48
5.114	-5.4	-2.7	-13.86
5.172	-8.64	-3.78	-18.72
5.232	-10.44	-4.68	-20.16
5.289	-10.26	-5.22	-18.18
5.345	-8.28	-5.22	-13.5
5.401	-5.04	-4.86	-6.12
5.46	-0.9	-3.96	1.98
5.516	3.06	-2.88	8.46
5.568	5.76	-1.62	13.32
5.621	7.56	0	15.84
5.671	7.92	1.62	15.48
5.723	6.84	3.06	12.78
5.773	4.68	4.5	7.74
5.825	1.8	5.58	1.08
5.875	-1.44	6.3	-5.76
5.931	-4.5	6.48	-12.6
5.99	-6.66	6.12	-17.1
6.044	-7.2	5.22	-18.54
6.1	-6.48	3.78	-17.1
6.154	-4.32	1.98	-12.78
6.211	-1.26	0	-6.3
6.268	1.98	-1.98	0.9
6.32	4.32	-3.6	7.56
6.375	5.94	-5.04	12.24
6.428	6.12	-5.94	14.58
6.481	4.86	-6.3	14.04
6.535	2.52	-6.12	10.8
6.589	-0.54	-5.4	5.04
6.645	-3.96	-3.96	-1.98
6.704	-7.02	-2.34	-9.54
6.763	-8.64	-0.36	-15.3
6.82	-8.64	1.44	-18.18
6.874	-7.2	3.06	-18.36
6.929	-4.14	4.5	-15.48
6.986	-0.36	5.4	-9.72
7.044	3.78	5.94	-2.52
7.099	6.84	5.76	4.5
7.152	8.82	5.4	10.44
7.202	9.18	4.5	14.58
7.255	8.1	3.6	16.02
7.305	5.76	2.34	14.76
7.357	2.34	0.9	10.98
7.409	-1.62	-0.36	4.68
7.465	-5.58	-1.8	-2.52
7.523	-8.64	-3.06	-10.26
7.582	-9.9	-4.14	-16.38
7.643	-9.54	-4.86	-19.44
7.703	-7.2	-5.22	-18.9
7.76	-3.78	-5.04	-15.12
7.819	0.36	-4.32	-8.64
7.877	3.78	-3.42	-1.62
7.932	6.12	-2.16	5.4
7.983	7.2	-0.72	11.34
8.037	6.84	1.08	14.76
8.087	5.4	2.52	15.66
8.14	2.88	3.96	14.04
8.192	-0.18	5.22	9.18
8.248	-3.42	6.12	2.52
8.306	-5.76	6.3	-4.5
8.362	-6.84	6.12	-11.16
8.416	-6.48	5.4	-16.02
8.473	-4.86	3.96	-18.18
8.528	-2.16	2.34	-17.46
8.584	1.08	0.54	-13.68
8.638	3.6	-1.26	-7.92
8.694	5.58	-3.24	-0.9
8.751	6.3	-4.68	5.94
8.803	5.58	-5.58	10.98
8.857	3.42	-6.12	13.86
8.911	0.36	-5.94	14.04
8.966	-2.88	-5.4	10.98
9.024	-6.3	-4.14	5.4
9.082	-8.46	-2.52	-1.26
9.139	-9.18	-0.72	-8.46
9.198	-8.1	1.26	-14.04
9.253	-5.58	2.7	-17.28
9.308	-1.98	4.14	-17.82
9.364	2.16	5.22	-15.48
9.418	5.58	5.76	-10.62
9.473	8.1	5.94	-4.14
9.526	9.36	5.58	2.52
9.576	8.82	4.86	8.46
9.626	7.02	3.96	12.96
9.678	4.14	2.88	15.12
9.733	0	1.44	14.58
9.785	-3.78	-0.18	10.8
9.844	-7.38	-1.62	4.68
9.901	-9.36	-3.06	-2.34
9.959	-9.72	-4.14	-9.72
10.018	-8.28	-4.86	-15.84
10.077	-5.22	-5.22	-18.9
10.134	-1.62	-5.04	-18.54
10.191	2.16	-4.5	-15.48
10.247	5.04	-3.6	-9.9
10.302	6.66	-2.34	-2.7
10.358	6.84	-0.72	4.5
10.411	5.58	0.9	9.9
10.46	3.42	2.34	13.86
10.511	0.72	3.78	15.48
10.561	-2.16	4.86	14.4
10.613	-4.68	5.76	10.98
10.665	-6.48	6.12	5.4
10.718	-7.02	6.12	-1.26
10.774	-5.94	5.58	-8.28
10.828	-3.96	4.5	-13.86
10.883	-1.08	3.06	-17.28
10.939	2.16	1.44	-18
10.99	4.68	-0.36	-15.84
11.047	6.48	-2.16	-10.98
11.103	6.66	-3.6	-4.68
11.158	5.4	-4.86	2.16
11.212	2.88	-5.58	8.28
11.267	-0.36	-5.94	12.42
11.323	-4.14	-5.58	13.86
11.377	-7.02	-4.68	12.42
11.433	-9.18	-3.42	8.46
11.488	-9.54	-1.8	2.34
11.546	-8.28	0	-4.14
11.6	-5.58	1.62	-10.26
11.657	-1.8	3.24	-15.12
11.713	2.34	4.5	-17.28
11.769	6.12	5.4	-16.56
11.824	8.46	5.76	-13.32
11.878	9.36	5.76	-7.92
11.931	8.82	5.4	-1.62
11.983	6.66	4.68	4.86
12.034	3.42	3.6	9.9
12.086	-0.36	2.16	13.5
12.14	-4.32	0.54	14.58
12.195	-7.38	-0.9	12.42
12.251	-9.36	-2.34	7.74
12.307	-9.54	-3.6	1.26
12.362	-8.28	-4.5	-5.22
12.416	-5.58	-5.22	-11.7
12.473	-1.8	-5.22	-16.56
12.529	1.8	-5.04	-18.54
12.584	4.68	-4.32	-17.64
12.639	6.48	-3.06	-13.86
12.697	6.84	-1.62	-7.74
12.753	5.58	-0.18	-0.72
12.81	2.88	1.62	6.12
12.862	0	3.06	10.98
12.912	-2.88	4.32	14.4
12.964	-5.22	5.22	15.12
13.016	-6.84	5.76	13.14
13.069	-7.02	5.94	8.46
13.126	-5.76	5.58	2.34
13.18	-3.42	4.86	-4.68
13.237	-0.18	3.6	-11.16
13.293	2.88	2.16	-15.48
13.345	5.58	0.54	-17.82
13.398	7.02	-1.26	-17.1
13.456	7.02	-2.7	-13.68
13.511	5.58	-4.14	-8.1
13.566	2.7	-5.04	-1.62
13.621	-0.9	-5.58	5.22
13.677	-4.68	-5.58	10.26
13.731	-7.56	-5.04	13.14
13.788	-9.54	-3.96	13.32
13.846	-9.72	-2.52	10.44
13.902	-8.28	-1.08	5.4
13.959	-5.04	0.72	-0.9
14.015	-1.26	2.34	-7.38
14.072	3.06	3.78	-12.78
14.127	6.66	4.86	-16.2
14.182	8.82	5.58	-16.74
14.238	9.36	5.76	-14.58
14.294	8.28	5.76	-10.08
14.349	5.58	5.04	-3.6
14.407	1.8	3.96	2.88
14.458	-1.98	2.7	8.46
14.511	-5.4	1.08	12.42
14.564	-8.1	-0.36	13.86
14.622	-9.36	-2.16	12.6
