#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	-2.52	0.18	1.26
0.054	-2.52	0.18	1.44
0.106	-2.52	0.18	1.62
0.159	-2.52	0.18	1.62
0.21	-2.52	0.18	1.62
0.264	-2.52	0.18	1.44
0.316	-2.52	0.18	1.26
0.368	-2.52	0.18	1.26
0.417	-2.52	0.18	1.26
0.471	-2.52	0.18	1.26
0.522	-2.52	0.18	1.26
0.576	-2.52	0.18	1.26
0.626	-2.52	0.18	1.44
0.679	-2.52	0.18	1.44
0.73	-2.52	0.18	1.44
0.783	-2.52	0.18	1.44
0.834	-2.52	0.18	1.26
0.887	-2.52	0.18	0.72
0.939	-2.52	0.18	0.18
0.992	-2.52	0.18	-0.54
1.045	-2.52	0.18	-1.08
1.1	-2.52	0.18	-1.44
1.158	-2.52	0.18	-1.26
1.211	-2.52	0.18	-0.9
1.266	-2.52	0.18	-0.18
1.321	-2.52	0.18	0.72
1.372	-2.52	0.18	1.8
1.428	-2.52	0.18	2.7
1.483	-2.52	0.18	3.42
1.536	-2.52	0.18	3.96
1.59	-2.52	0.18	3.96
1.643	-2.52	0.18	3.78
1.696	-2.52	0.18	3.06
1.747	-2.52	0.18	2.16
1.802	-2.52	0.18	1.08
1.854	-2.52	0.18	0
1.906	-2.52	0.18	-1.08
1.962	-2.52	0.18	-1.8
2.016	-2.52	0.18	-1.98
2.07	-2.52	0.18	-1.8
2.125	-2.52	0.18	-1.26
2.182	-2.52	0.18	-0.36
2.237	-2.52	0.18	0.54
2.293	-2.52	0.18	1.44
2.346	-2.52	0.18	2.16
2.402	-2.52	0.18	2.52
2.456	-2.52	0.18	2.7
2.511	-2.52	0.18	2.34
2.564	-2.52	0.18	1.8
2.615	-2.52	0.18	1.08
2.667	-2.52	0.18	0.18
2.721	-2.52	0.18	-0.54
2.779	-2.52	0.18	-1.08
2.835	-2.52	0.18	-1.26
2.887	-2.52	0.18	-1.08
2.943	-2.52	0.18	-0.72
2.999	-2.52	0.18	-0.18
3.056	-2.52	0.18	0.18
3.106	-2.52	0.18	0.72
3.159	-2.52	0.18	1.08
3.211	-2.52	0.18	1.26
3.264	-2.52	0.18	1.44
3.315	-2.52	0.18	1.44
3.369	-2.52	0.18	1.26
3.421	-2.52	0.18	0.9
3.476	-2.52	0.18	0.54
3.528	-2.52	0.18	0.18
3.58	-2.52	0.18	-0.18
3.635	-2.52	0.18	-0.54
3.691	-2.52	0.18	-0.54
3.747	-2.52	0.18	-0.54
3.806	-2.52	0.18	-0.36
3.862	-2.52	0.18	0
3.91	-2.52	0.18	0.36
3.962	-2.52	0.18	0.72
4.015	-2.52	0.18	1.08
4.068	-2.52	0.18	1.44
4.12	-2.52	0.18	1.44
4.173	-2.52	0.18	1.44
4.229	-2.52	0.18	1.26
4.283	-2.52	0.18	0.9
4.338	-2.52	0.18	0.36
4.393	-2.52	0.18	0
4.445	-2.52	0.18	-0.36
4.502	-2.52	0.18	-0.54
4.558	-2.52	0.18	-0.54
4.614	-2.52	0.18	-0.54
4.671	-2.52	0.18	-0.18
4.729	-2.52	0.18	0.18
4.781	-2.52	0.18	0.54
4.834	-2.52	0.18	0.9
4.889	-2.52	0.18	1.26
4.943	-2.52	0.18	1.44
4.996	-2.52	0.18	1.44
5.05	-2.52	0.18	1.44
5.104	-2.52	0.18	1.26
5.158	-2.52	0.18	0.72
5.212	-2.52	0.18	0.18
5.265	-2.52	0.18	-0.36
5.32	-2.52	0.18	-0.72
5.374	-2.52	0.18	-1.08
5.429	-2.52	0.18	-1.26
5.485	-2.52	0.18	-1.26
5.541	-2.52	0.18	-1.26
5.596	-2.52	0.18	-1.08
5.65	-2.52	0.18	-0.9
5.706	-2.52	0.18	-0.9
5.764	-2.52	0.18	-0.72
5.819	-2.52	0.18	-0.54
5.872	-2.52	0.18	-0.54
5.928	-2.52	0.18	-0.36
5.983	-2.52	0.18	-0.36
6.04	-2.52	0.18	-0.36
6.096	-2.52	0.18	-0.36
6.153	-2.52	0.18	-0.18
6.206	-2.52	0.18	0
6.258	-2.52	0.18	0.18
6.312	-2.52	0.18	0.18
6.364	-2.52	0.18	0.36
6.417	-2.52	0.18	0.54
6.47	-2.52	0.18	0.54
6.524	-2.52	0.18	0.54
6.579	-2.52	0.18	0.36
6.632	-2.52	0.18	0.36
6.685	-2.52	0.18	0.36
6.739	-2.52	0.18	0.18
6.792	-2.52	0.18	0.18
6.844	-2.52	0.18	0.18
6.894	-2.52	0.18	0.18
6.948	-2.52	0.18	0.18
7	-2.52	0.18	0.18
7.054	-2.52	0.18	0.18
7.108	-2.52	0.18	0.36
7.163	-2.52	0.18	0.36
7.215	-2.52	0.18	0.54
