#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
9.783	-0.18	2.52	0.72
9.836	0.54	4.32	0.9
9.886	1.44	5.76	0.9
9.936	2.34	6.66	1.08
9.987	3.06	7.2	1.08
10.039	3.6	7.2	1.08
10.09	3.78	6.66	1.08
10.141	3.6	5.58	1.08
10.194	2.88	4.14	0.9
10.244	2.16	2.52	0.72
10.293	1.08	0.72	0.36
10.343	-0.18	-1.26	0
10.398	-1.44	-3.24	-0.36
10.457	-2.52	-5.22	-0.9
10.515	-3.24	-6.48	-1.26
10.576	-3.42	-7.2	-1.62
10.636	-3.24	-7.2	-1.8
10.696	-2.52	-6.48	-1.8
10.755	-1.62	-5.04	-1.44
10.816	-0.54	-3.06	-0.9
10.876	0.54	-1.08	-0.36
10.932	1.26	1.08	0.18
10.981	1.8	2.88	0.9
11.031	2.16	4.5	1.44
11.082	2.34	5.94	1.8
11.132	2.34	6.84	1.98
11.182	2.16	7.2	2.16
11.232	1.98	7.2	1.98
11.28	1.62	6.66	1.62
11.332	1.44	5.58	1.26
11.385	1.26	3.96	0.72
11.437	0.9	2.16	0.18
11.487	0.72	0.18	-0.54
11.543	0.36	-1.98	-1.08
11.6	-0.18	-4.14	-1.44
11.659	-0.72	-5.76	-1.62
11.718	-1.44	-6.84	-1.62
11.776	-1.98	-7.2	-1.44
11.833	-2.34	-7.02	-1.26
11.892	-2.7	-6.12	-0.9
11.953	-2.52	-4.5	-0.36
12.011	-2.16	-2.7	0
12.065	-1.44	-0.54	0.36
12.122	-0.36	1.62	0.54
12.176	0.72	3.42	0.72
12.227	1.8	5.04	0.9
12.278	2.7	6.12	1.08
12.329	3.42	6.84	1.08
12.38	3.78	7.2	1.08
12.431	3.78	6.84	1.08
12.481	3.42	6.12	1.08
12.532	2.7	4.86	0.9
12.583	1.8	3.42	0.72
12.634	0.72	1.62	0.54
12.685	-0.36	-0.54	0.18
12.742	-1.44	-2.52	-0.18
12.802	-2.34	-4.5	-0.72
12.859	-2.88	-5.94	-1.08
12.915	-2.88	-6.84	-1.44
12.974	-2.7	-7.2	-1.62
13.034	-2.16	-6.84	-1.8
13.094	-1.26	-5.58	-1.62
13.154	-0.54	-3.96	-1.26
13.213	0	-1.98	-0.72
13.268	0.54	0	-0.18
13.32	0.9	1.98	0.54
13.372	1.26	3.78	1.08
13.423	1.44	5.4	1.62
13.474	1.62	6.48	1.8
13.527	1.8	7.02	1.98
13.578	1.8	7.2	1.98
13.629	1.98	6.66	1.8
13.681	1.98	5.76	1.44
13.731	1.98	4.5	0.9
13.781	1.8	2.7	0.36
13.832	1.44	0.9	-0.18
13.888	0.9	-1.26	-0.72
13.942	0.18	-3.06	-1.26
13.999	-0.72	-5.04	-1.62
14.056	-1.44	-6.3	-1.62
14.118	-2.34	-7.02	-1.62
14.179	-2.88	-7.2	-1.26
14.24	-3.06	-6.3	-1.08
14.299	-2.88	-5.04	-0.54
14.357	-2.16	-3.24	-0.18
14.413	-1.26	-1.08	0.18
14.47	0	0.72	0.54
14.517	1.08	2.7	0.72
14.569	1.98	4.32	0.9
14.621	2.88	5.58	1.08
14.671	3.42	6.48	1.08
14.722	3.6	7.02	1.08
14.775	3.6	7.02	1.08
14.826	3.06	6.48	1.08
14.877	2.34	5.4	0.9
14.929	1.44	3.96	0.72
14.981	0.54	2.16	0.54
15.031	-0.36	0.18	0.36
15.084	-1.08	-1.8	-0.18
15.146	-1.8	-3.96	-0.54
15.208	-2.16	-5.58	-0.9
15.267	-2.16	-6.66	-1.44
15.325	-1.98	-7.2	-1.62
15.382	-1.62	-7.02	-1.62
15.441	-1.26	-5.94	-1.62
15.5	-0.9	-4.5	-1.26
15.561	-0.54	-2.52	-0.72
15.621	-0.18	-0.18	-0.18
15.68	0.36	1.98	0.36
15.732	0.72	3.78	1.08
15.784	1.08	5.22	1.44
15.837	1.44	6.3	1.8
15.888	1.8	7.02	1.98
15.941	2.16	7.02	1.98
15.99	2.52	6.66	1.8
16.042	2.52	5.76	1.44
16.093	2.52	4.32	0.9
16.143	2.16	2.7	0.36
16.196	1.62	0.9	-0.18
16.251	0.72	-1.08	-0.72
16.306	-0.18	-3.24	-1.26
16.367	-1.26	-5.04	-1.62
16.425	-2.16	-6.3	-1.62
16.484	-3.06	-7.02	-1.62
16.545	-3.24	-7.02	-1.26
16.605	-3.24	-6.12	-0.9
16.665	-2.52	-4.86	-0.54
16.724	-1.62	-3.06	-0.18
16.783	-0.54	-1.08	0.18
16.837	0.72	0.9	0.54
16.886	1.62	2.7	0.72
16.937	2.34	4.32	0.9
16.989	2.88	5.58	1.08
17.039	3.24	6.48	1.08
17.09	3.24	7.02	1.08
17.141	2.88	6.84	1.08
17.191	2.34	6.3	1.08
17.241	1.8	5.4	0.9
17.294	1.08	3.78	0.72
17.345	0.36	2.16	0.54
17.396	-0.18	0.18	0.36
17.449	-0.72	-1.8	0
17.502	-1.08	-3.6	-0.36
17.561	-1.44	-5.22	-0.9
17.619	-1.62	-6.48	-1.26
17.679	-1.62	-7.02	-1.62
17.738	-1.62	-6.84	-1.62
17.795	-1.62	-6.12	-1.62
17.851	-1.44	-4.86	-1.44
17.909	-1.26	-2.88	-0.9
17.968	-0.9	-0.9	-0.36
18.026	-0.36	1.26	0.18
18.078	0.18	3.06	0.9
18.132	0.9	4.68	1.44
18.186	1.62	5.94	1.8
18.235	2.16	6.66	1.98
18.286	2.7	6.84	1.98
18.337	3.06	6.66	1.98
18.39	3.06	5.94	1.62
18.442	2.88	4.68	1.08
18.494	2.34	3.24	0.54
18.545	1.62	1.44	0
18.596	0.72	-0.36	-0.72
18.653	-0.36	-2.52	-1.08
18.711	-1.62	-4.32	-1.44
18.77	-2.52	-5.76	-1.62
18.828	-3.06	-6.66	-1.62
18.89	-3.24	-7.02	-1.44
18.949	-2.88	-6.48	-1.08
19.009	-2.34	-5.4	-0.54
19.069	-1.44	-3.78	-0.18
19.129	-0.18	-1.62	0.18
19.187	0.72	0.36	0.36
19.238	1.44	2.16	0.72
19.293	2.16	3.96	0.9
19.344	2.52	5.4	0.9
19.397	2.52	6.3	1.08
19.449	2.52	6.84	1.08
19.5	2.34	6.84	1.08
19.551	1.98	6.3	1.08
19.602	1.44	5.4	0.9
19.655	1.08	3.96	0.9
19.705	0.72	2.16	0.72
19.756	0.18	0.36	0.36
19.806	-0.18	-1.44	0
19.863	-0.54	-3.42	-0.36
19.921	-0.9	-5.22	-0.72
19.979	-1.26	-6.3	-1.26
20.039	-1.62	-6.84	-1.44
20.098	-1.98	-6.84	-1.62
20.158	-2.16	-5.94	-1.62
20.218	-1.98	-4.68	-1.44
20.28	-1.62	-2.7	-0.9
20.336	-1.08	-0.72	-0.36
20.395	-0.36	1.44	0.36
20.449	0.54	3.24	0.9
20.5	1.44	4.68	1.44
20.551	2.16	5.76	1.8
20.602	2.7	6.48	1.98
20.652	3.24	6.84	1.98
20.703	3.42	6.66	1.8
20.754	3.24	5.94	1.44
20.805	2.7	4.68	1.08
20.856	1.98	3.24	0.54
20.906	1.08	1.62	0
20.956	0.18	-0.18	-0.54
21.012	-0.9	-2.34	-1.08
21.072	-1.8	-4.14	-1.44
21.13	-2.52	-5.58	-1.62
21.188	-2.88	-6.48	-1.62
21.247	-2.88	-6.84	-1.44
21.304	-2.52	-6.66	-1.08
21.362	-1.8	-5.58	-0.72
21.421	-1.08	-3.96	-0.36
21.48	-0.18	-2.16	0
21.534	0.54	-0.36	0.36
21.587	1.08	1.62	0.54
21.638	1.44	3.42	0.72
21.687	1.8	4.86	0.9
21.739	1.98	5.94	0.9
21.792	1.98	6.66	1.08
21.844	1.98	6.84	1.08
21.897	1.98	6.48	1.08
21.948	1.8	5.76	1.08
21.999	1.62	4.5	0.9
22.051	1.44	2.88	0.72
22.101	1.08	1.08	0.54
22.152	0.54	-0.72	0.18
22.205	0	-2.52	-0.18
22.26	-0.54	-4.32	-0.72
22.319	-1.26	-5.76	-1.08
22.378	-1.98	-6.66	-1.44
22.437	-2.34	-6.84	-1.62
22.498	-2.52	-6.3	-1.8
22.555	-2.52	-5.22	-1.62
22.614	-2.16	-3.6	-1.08
22.672	-1.44	-1.62	-0.54
22.734	-0.36	0.54	0
22.786	0.54	2.16	0.54
22.837	1.44	3.96	1.08
22.888	2.34	5.22	1.62
22.941	2.88	6.12	1.98
22.994	3.24	6.66	1.98
23.046	3.42	6.66	1.98
23.095	3.06	6.3	1.62
23.145	2.52	5.22	1.26
23.197	1.8	3.96	0.72
23.247	0.9	2.34	0.18
23.298	0.18	0.54	-0.36
23.351	-0.72	-1.26	-0.9
23.406	-1.44	-3.24	-1.26
23.464	-1.98	-4.86	-1.44
23.523	-2.34	-6.12	-1.62
23.582	-2.34	-6.66	-1.44
