#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
4.59	13.14	0.72	0.72
4.642	13.14	0.72	0.72
4.693	13.14	0.72	0.72
4.743	13.14	0.72	0.72
4.795	13.14	0.72	0.72
4.847	12.96	0.72	0.72
4.899	12.96	0.72	0.72
4.953	12.96	0.72	0.72
5.005	12.96	0.72	0.72
5.057	12.96	0.72	0.72
5.107	12.96	0.72	0.72
5.159	12.96	0.54	0.9
5.21	12.96	0.54	0.9
5.262	12.96	0.54	0.9
5.312	12.96	0.72	0.9
5.363	12.96	0.72	0.9
5.415	12.96	0.72	0.9
5.466	13.14	0.72	0.9
5.517	13.14	0.72	0.9
5.57	13.14	0.72	0.9
5.623	13.32	0.72	0.9
5.672	13.5	0.72	1.08
5.722	13.68	0.72	1.08
5.773	13.68	0.72	1.08
5.826	13.86	0.72	1.08
5.878	13.86	0.72	0.9
5.931	13.86	0.9	0.72
5.982	13.86	1.26	0.18
6.032	12.24	1.44	-0.36
6.087	8.46	1.62	-0.72
6.139	3.06	1.62	-0.9
6.193	-2.7	1.62	-0.9
6.247	-8.1	1.44	-0.72
6.302	-11.7	0.9	-0.36
6.36	-13.14	0.36	0
6.414	-11.7	-0.36	0.36
6.469	-7.92	-0.9	0.72
6.523	-2.52	-1.62	0.9
6.58	3.42	-2.16	0.72
6.633	8.28	-2.52	0.36
6.687	11.52	-2.52	0
6.74	12.6	-2.34	-0.54
6.796	10.98	-1.8	-0.9
6.853	7.02	-1.08	-1.26
6.91	1.62	-0.18	-1.26
6.964	-3.96	0.72	-1.08
7.02	-8.82	1.44	-0.72
7.078	-11.7	1.98	0
7.132	-12.06	2.34	0.54
7.187	-9.9	2.52	1.08
7.241	-5.58	2.16	1.44
7.296	-0.36	1.8	1.62
7.351	5.4	1.26	1.44
7.403	9.72	0.54	1.26
7.453	12.24	0	0.72
7.507	12.96	-0.54	0
7.56	10.98	-0.9	-0.72
7.618	6.84	-1.26	-1.44
7.676	0.9	-1.44	-1.62
7.733	-5.04	-1.44	-1.62
7.795	-10.26	-1.44	-1.44
7.854	-12.96	-1.26	-0.9
7.914	-12.6	-1.08	-0.18
7.975	-9.36	-0.9	0.54
8.032	-4.14	-0.72	1.08
8.092	1.98	-0.36	1.26
8.147	7.38	-0.18	1.26
8.201	11.34	0.18	1.08
8.255	12.96	0.72	0.54
8.308	12.42	1.08	0.18
8.359	9.54	1.44	-0.36
8.415	4.68	1.8	-0.72
8.469	-0.72	1.98	-0.9
8.525	-6.12	1.98	-0.9
8.584	-10.26	1.8	-0.72
8.642	-11.88	1.26	-0.18
8.7	-10.98	0.54	0.36
8.754	-7.56	-0.18	0.72
8.811	-2.7	-1.08	0.9
8.868	2.88	-1.62	1.08
8.921	7.38	-2.16	0.72
8.974	10.44	-2.52	0.36
9.028	11.52	-2.52	-0.18
9.085	10.26	-2.34	-0.72
9.141	6.66	-1.62	-1.26
9.2	1.44	-0.9	-1.44
9.256	-3.96	0	-1.44
9.311	-8.28	0.72	-1.26
9.366	-10.98	1.26	-0.72
9.422	-11.52	1.8	0
9.474	-9.54	1.98	0.72
9.53	-5.58	1.98	1.44
9.584	-0.54	1.98	1.8
9.639	4.86	1.62	1.8
9.69	9	1.26	1.62
9.743	11.88	0.72	1.26
9.795	12.6	0.36	0.54
9.845	11.16	0	-0.18
9.898	7.74	-0.36	-0.9
9.954	2.52	-0.72	-1.44
10.012	-3.42	-0.9	-1.8
10.071	-8.64	-1.08	-1.8
10.13	-11.88	-1.26	-1.44
10.189	-12.42	-1.26	-0.72
10.248	-10.08	-1.26	0
10.304	-5.94	-1.26	0.72
10.361	-0.36	-1.26	1.08
10.418	5.22	-0.9	1.26
10.475	9.54	-0.54	1.26
10.527	11.7	-0.18	1.08
10.581	11.88	0.36	0.54
10.63	10.08	0.9	0
10.681	6.48	1.44	-0.36
10.735	1.62	1.98	-0.9
10.789	-3.24	2.16	-1.08
10.843	-7.74	2.34	-0.9
10.899	-10.44	2.16	-0.72
10.956	-10.98	1.62	-0.18
11.012	-9	0.9	0.36
11.065	-5.22	0.18	0.72
11.12	-0.54	-0.54	1.08
11.176	4.5	-1.26	1.26
11.232	8.64	-1.98	0.9
11.287	10.62	-2.34	0.54
11.34	10.8	-2.34	0
11.393	8.64	-2.34	-0.54
11.448	4.86	-1.98	-1.26
11.505	-0.18	-1.26	-1.62
11.565	-5.58	-0.54	-1.62
11.624	-9.54	0.18	-1.44
11.683	-11.16	0.9	-0.9
11.737	-10.44	1.26	-0.18
11.793	-7.38	1.62	0.72
11.848	-3.06	1.8	1.26
11.904	2.34	1.62	1.62
11.958	7.02	1.44	1.8
12.011	10.44	1.26	1.8
12.062	12.06	1.08	1.26
12.116	11.52	0.72	0.72
12.166	9	0.54	0
12.217	5.04	0.18	-0.72
12.27	0	0	-1.26
12.324	-4.86	-0.36	-1.62
12.384	-9.36	-0.72	-1.62
12.445	-11.52	-1.08	-1.44
12.504	-10.98	-1.26	-0.72
12.563	-7.92	-1.44	-0.18
12.621	-3.42	-1.62	0.54
12.677	1.8	-1.62	1.08
12.731	6.48	-1.44	1.26
12.782	9.54	-1.08	1.26
12.835	10.98	-0.72	0.9
12.887	10.62	0	0.54
12.936	8.28	0.54	0
12.988	4.5	1.26	-0.36
13.043	-0.18	1.8	-0.9
13.102	-5.04	2.16	-1.08
13.158	-8.64	2.34	-0.9
13.214	-10.08	2.34	-0.72
13.271	-9.54	1.98	-0.18
13.328	-6.66	1.26	0.36
13.38	-2.7	0.54	0.9
13.432	1.8	-0.18	1.08
13.485	5.94	-0.9	1.26
13.537	9	-1.44	1.08
13.59	10.44	-1.98	0.72
13.643	9.9	-2.16	0.18
13.697	7.38	-2.16	-0.54
13.752	3.24	-1.98	-1.08
13.806	-1.44	-1.44	-1.44
13.864	-6.3	-0.9	-1.62
13.927	-9.72	-0.36	-1.44
13.986	-10.8	0.18	-1.08
14.041	-9.54	0.72	-0.36
14.097	-6.3	1.08	0.36
14.149	-1.98	1.26	1.08
14.203	3.06	1.26	1.44
14.256	7.2	1.26	1.8
14.31	10.26	1.26	1.8
14.363	11.52	1.26	1.44
14.415	10.62	1.08	0.9
14.467	7.92	0.9	0.36
14.518	3.96	0.72	-0.36
14.571	-0.72	0.54	-1.08
14.627	-5.58	0.18	-1.44
14.681	-9	-0.18	-1.62
14.739	-10.8	-0.54	-1.44
14.798	-10.08	-1.08	-0.9
14.856	-7.2	-1.44	-0.36
14.914	-2.7	-1.8	0.18
14.968	1.98	-1.8	0.72
15.023	6.3	-1.8	1.08
15.076	9.18	-1.62	1.08
15.13	10.26	-1.26	0.9
15.182	9.54	-0.72	0.54
15.234	7.02	0	0.18
15.284	3.42	0.72	-0.18
15.337	-0.9	1.44	-0.72
15.394	-5.22	1.98	-0.9
15.45	-8.28	2.16	-0.9
15.505	-9.54	2.34	-0.72
15.561	-8.82	2.16	-0.36
15.617	-5.94	1.8	0.18
15.67	-2.16	1.08	0.72
15.722	2.16	0.54	1.08
15.772	5.94	-0.18	1.26
15.827	9	-0.72	1.26
15.883	10.08	-1.26	0.9
15.936	9.36	-1.62	0.36
15.99	6.66	-1.8	-0.18
16.049	2.34	-1.8	-0.9
16.108	-2.7	-1.62	-1.44
16.166	-7.02	-1.26	-1.62
16.225	-9.9	-0.72	-1.62
16.284	-10.44	-0.36	-1.26
16.342	-8.64	0	-0.72
16.395	-5.22	0.36	0
16.448	-1.08	0.54	0.72
16.499	3.42	0.72	1.08
16.55	7.2	0.9	1.44
16.6	9.9	1.08	1.62
16.653	10.8	1.26	1.62
16.706	10.08	1.26	1.08
16.759	7.38	1.26	0.54
16.812	3.42	1.26	0
16.862	-0.9	1.08	-0.54
16.918	-5.22	0.9	-1.08
16.974	-8.64	0.54	-1.26
17.031	-10.08	0	-1.26
17.087	-9.36	-0.54	-1.08
17.148	-6.3	-1.08	-0.54
17.206	-2.16	-1.62	0
17.262	2.34	-1.98	0.54
17.317	6.3	-1.98	0.72
17.37	8.82	-1.98	0.9
17.426	9.54	-1.62	0.72
17.48	8.46	-1.26	0.54
17.534	5.4	-0.54	0.18
17.587	1.62	0.18	-0.36
17.642	-2.52	0.9	-0.72
17.7	-6.3	1.62	-0.9
17.757	-8.64	1.98	-0.9
17.813	-9	2.16	-0.72
17.872	-7.2	2.16	-0.18
17.928	-3.78	1.8	0.18
17.982	0.36	1.44	0.72
18.035	4.32	0.72	1.08
18.087	7.56	0.18	1.26
18.14	9.54	-0.36	1.08
18.196	9.72	-0.9	0.9
18.251	7.92	-1.26	0.36
18.306	4.5	-1.44	-0.18
18.363	0	-1.44	-0.72
18.419	-4.5	-1.44	-1.26
18.478	-8.1	-1.26	-1.44
18.538	-9.9	-0.9	-1.44
18.596	-9.54	-0.72	-1.08
18.655	-6.84	-0.36	-0.54
18.711	-2.88	-0.18	0
18.764	1.44	0	0.54
18.815	5.22	0.36	0.9
18.866	8.28	0.54	1.26
18.917	9.9	0.9	1.44
18.967	10.08	1.08	1.26
19.018	8.28	1.26	1.08
19.071	5.04	1.44	0.54
19.122	1.26	1.44	0
19.174	-2.7	1.44	-0.36
19.228	-6.48	1.26	-0.72
19.284	-8.64	0.9	-0.9
19.34	-9.18	0.36	-1.08
19.395	-7.56	-0.18	-0.72
19.455	-4.32	-0.9	-0.36
19.515	0.18	-1.44	0
19.567	3.78	-1.8	0.36
19.62	7.02	-1.98	0.54
19.674	8.64	-2.16	0.54
19.725	8.82	-1.98	0.54
19.779	7.2	-1.44	0.36
19.832	4.14	-0.9	0
19.884	0.36	-0.36	-0.18
19.939	-3.6	0.36	-0.54
19.996	-6.84	1.08	-0.72
20.052	-8.64	1.62	-0.72
20.109	-8.46	1.8	-0.54
20.166	-6.48	1.98	-0.18
20.222	-2.88	1.8	0.18
20.274	1.08	1.62	0.54
20.326	4.86	1.08	0.72
20.378	7.74	0.72	0.9
20.431	9.36	0.18	1.08
20.483	9.36	-0.18	0.9
20.537	7.56	-0.54	0.54
20.59	4.32	-0.9	0
20.645	0.36	-1.08	-0.36
20.701	-3.96	-1.08	-0.72
20.758	-7.38	-1.08	-1.08
20.817	-9.36	-1.08	-1.26
20.876	-9.36	-1.08	-1.08
20.932	-7.2	-0.9	-0.72
20.99	-3.42	-0.72	-0.36
21.05	1.26	-0.54	0.18
21.105	5.22	-0.36	0.54
21.159	8.1	0	0.72
21.211	9.36	0.36	0.9
21.264	9.18	0.72	1.08
21.314	7.2	1.08	0.9
21.366	4.14	1.44	0.54
21.418	0.36	1.62	0.18
21.47	-3.42	1.8	-0.18
21.527	-6.66	1.62	-0.36
21.583	-8.28	1.44	-0.54
21.641	-8.1	0.9	-0.54
21.696	-6.3	0.36	-0.54
21.751	-3.06	-0.36	-0.36
21.813	1.26	-1.08	0
21.867	4.86	-1.44	0.18
21.921	7.38	-1.8	0.18
21.974	8.46	-1.98	0.36
22.029	7.92	-1.98	0.18
22.082	5.76	-1.62	0
22.136	2.34	-1.26	-0.18
22.196	-1.8	-0.54	-0.36
22.254	-5.4	0	-0.54
22.311	-7.92	0.54	-0.54
22.366	-8.46	1.08	-0.54
22.424	-7.2	1.44	-0.18
22.483	-4.14	1.62	0
22.536	-0.54	1.62	0.36
22.589	3.42	1.44	0.54
22.642	6.48	1.26	0.72
22.694	8.64	0.9	0.72
22.748	9.36	0.54	0.72
22.798	8.28	0.18	0.54
22.849	5.94	0	0.36
22.901	2.52	-0.18	0
22.955	-1.62	-0.54	-0.36
23.015	-5.76	-0.72	-0.72
23.074	-8.28	-0.9	-0.9
23.133	-9.18	-1.08	-0.9
23.195	-7.74	-1.26	-0.72
23.254	-4.68	-1.26	-0.54
23.313	-0.54	-1.08	-0.18
23.371	3.6	-0.9	0.18
23.425	6.84	-0.72	0.36
23.481	8.64	-0.36	0.54
23.536	8.64	0.18	0.54
23.587	7.2	0.72	0.54
23.64	4.32	1.08	0.36
23.69	1.08	1.44	0.18
23.741	-2.52	1.8	0
23.792	-5.4	1.8	0
23.844	-7.38	1.8	-0.18
23.9	-7.92	1.62	-0.18
23.957	-6.66	1.08	-0.18
24.012	-3.96	0.54	-0.18
24.068	-0.36	-0.18	0
24.124	3.24	-0.72	0.18
24.177	6.12	-1.26	0.18
24.231	7.92	-1.62	0.18
24.285	8.1	-1.8	0
24.336	6.66	-1.8	-0.18
24.391	3.78	-1.62	-0.18
24.449	0	-1.26	-0.36
24.506	-3.78	-0.72	-0.54
24.567	-7.02	-0.18	-0.54
24.627	-8.28	0.36	-0.36
24.683	-7.92	0.72	-0.18
24.739	-5.58	1.08	0
24.793	-2.34	1.26	0.18
24.844	1.26	1.26	0.36
24.896	4.86	1.26	0.54
24.949	7.56	1.08	0.72
25.002	8.82	1.08	0.72
25.052	8.82	0.9	0.54
25.102	7.2	0.72	0.36
25.153	4.5	0.54	0.18
25.206	0.9	0.18	-0.18
25.26	-2.88	0	-0.36
25.318	-6.3	-0.36	-0.54
25.378	-8.28	-0.54	-0.54
25.436	-8.46	-0.9	-0.54
25.496	-6.48	-1.26	-0.54
25.556	-3.24	-1.44	-0.36
25.615	0.9	-1.44	-0.18
25.671	4.5	-1.26	0
25.725	7.02	-1.08	0.18
25.777	8.1	-0.72	0.18
25.828	7.92	-0.36	0.18
25.88	6.12	0.18	0.18
25.93	3.42	0.72	0.18
25.981	0.18	1.26	0
26.035	-3.24	1.62	0
26.087	-5.76	1.8	0
26.138	-7.2	1.8	0
26.192	-7.38	1.8	0
26.243	-5.94	1.44	0.18
26.296	-3.42	0.9	0.18
26.348	-0.18	0.54	0.36
26.4	3.06	0	0.36
26.452	5.76	-0.54	0.18
26.503	7.56	-1.08	0.18
26.556	7.92	-1.44	0
26.608	6.84	-1.62	-0.18
26.663	4.32	-1.62	-0.36
26.72	0.72	-1.44	-0.54
26.777	-3.06	-1.08	-0.72
26.836	-6.3	-0.72	-0.54
26.897	-8.1	-0.36	-0.36
26.956	-7.92	0	-0.18
27.015	-5.94	0.36	0
27.067	-2.88	0.54	0.36
27.121	0.72	0.72	0.54
27.172	4.14	0.9	0.54
27.224	7.02	1.08	0.72
27.276	8.46	1.08	0.54
27.326	8.64	1.08	0.36
27.376	7.38	1.08	0.18
27.427	4.86	0.9	0
27.476	1.8	0.72	-0.18
27.53	-1.8	0.54	-0.36
27.588	-5.22	0.36	-0.36
27.645	-7.38	0	-0.36
27.702	-7.92	-0.36	-0.36
27.761	-6.66	-0.9	-0.18
27.822	-3.78	-1.26	-0.18
27.879	-0.18	-1.44	0
27.937	3.42	-1.62	0
27.99	5.94	-1.44	0
28.043	7.38	-1.26	0
28.097	7.56	-0.9	0
28.151	6.12	-0.54	-0.18
28.208	3.24	0.18	-0.18
28.262	0	0.72	-0.18
28.317	-3.24	1.26	-0.18
28.375	-5.94	1.62	-0.18
28.433	-7.2	1.8	0
28.484	-6.84	1.8	0.18
28.534	-5.22	1.62	0.36
28.588	-2.52	1.26	0.54
28.64	0.72	0.9	0.54
28.691	3.78	0.36	0.54
28.74	6.12	-0.18	0.36
28.797	7.56	-0.54	0.18
28.849	7.56	-0.9	0
28.901	6.3	-1.08	-0.36
28.955	3.6	-1.26	-0.54
29.012	0	-1.26	-0.72
29.064	-3.24	-1.26	-0.72
29.123	-6.3	-1.08	-0.72
29.183	-7.92	-0.72	-0.54
29.242	-7.56	-0.54	-0.18
29.302	-5.4	-0.18	0.18
29.358	-2.34	0	0.36
29.413	1.26	0.36	0.54
29.463	4.5	0.54	0.72
29.517	7.02	0.72	0.72
29.567	8.1	0.9	0.54
29.619	8.1	1.08	0.36
29.671	6.48	1.08	0.18
29.722	3.96	1.08	0
29.772	0.9	1.26	-0.18
29.826	-2.52	1.08	-0.36
29.882	-5.4	0.72	-0.36
29.938	-7.2	0.36	-0.36
29.994	-7.38	0	-0.18
30.051	-5.94	-0.54	0
30.108	-3.24	-0.9	0.18
30.165	0.18	-1.26	0.18
30.219	3.42	-1.62	0.18
30.272	5.76	-1.62	0.18
30.327	7.02	-1.62	0
30.378	7.02	-1.44	-0.18
30.436	5.4	-0.9	-0.36
30.492	2.7	-0.36	-0.54
30.549	-0.54	0.18	-0.54
30.604	-3.6	0.72	-0.54
30.66	-5.94	1.26	-0.18
30.719	-6.84	1.44	0
30.775	-6.3	1.62	0.36
30.83	-4.32	1.62	0.54
30.886	-1.26	1.44	0.72
30.94	1.98	1.08	0.72
30.993	4.86	0.72	0.72
31.045	6.84	0.18	0.54
31.096	7.56	-0.18	0.18
31.151	7.02	-0.54	0
31.204	5.04	-0.72	-0.36
31.262	1.98	-0.9	-0.72
31.32	-1.62	-1.08	-0.9
31.381	-5.04	-1.08	-0.9
31.441	-7.2	-1.08	-0.72
31.501	-7.56	-0.9	-0.36
31.56	-6.3	-0.72	-0.18
31.618	-3.6	-0.54	0.18
31.674	-0.18	-0.36	0.54
31.729	3.06	0	0.54
31.779	5.58	0.18	0.72
31.83	7.2	0.36	0.54
31.881	7.74	0.72	0.36
31.933	6.84	0.9	0.18
31.985	4.68	1.08	0
32.038	1.8	1.26	-0.18
32.093	-1.44	1.44	-0.36
32.147	-4.32	1.26	-0.36
32.202	-6.12	1.08	-0.36
32.258	-6.84	0.72	-0.18
32.316	-5.94	0.18	0
32.368	-3.78	-0.18	0.18
32.424	-0.9	-0.9	0.36
32.479	2.16	-1.26	0.36
32.532	4.68	-1.44	0.36
32.586	6.3	-1.62	0.18
32.638	6.66	-1.62	0
32.69	5.76	-1.44	-0.36
32.744	3.78	-1.08	-0.54
32.8	0.9	-0.72	-0.72
32.852	-1.98	-0.18	-0.72
32.912	-4.86	0.36	-0.54
32.969	-6.48	0.9	-0.36
33.026	-6.66	1.26	0
33.076	-5.4	1.26	0.36
33.13	-3.06	1.44	0.54
33.181	-0.36	1.26	0.9
33.234	2.7	1.08	0.9
33.284	5.22	0.9	0.9
33.336	7.02	0.54	0.72
33.387	7.38	0.36	0.36
33.438	6.66	0	0
33.487	4.86	-0.18	-0.36
33.545	1.98	-0.36	-0.54
33.6	-1.44	-0.54	-0.9
33.66	-4.68	-0.72	-0.9
33.718	-6.66	-0.9	-0.72
33.781	-7.2	-0.9	-0.54
33.84	-6.12	-0.9	-0.18
33.899	-3.6	-0.9	0.18
33.954	-0.36	-0.9	0.36
34.013	3.06	-0.54	0.54
34.066	5.4	-0.36	0.54
34.119	6.84	0	0.54
34.17	7.02	0.36	0.36
34.224	5.94	0.72	0.18
34.276	3.78	1.08	-0.18
34.33	1.08	1.26	-0.36
34.382	-1.8	1.44	-0.36
34.439	-4.5	1.44	-0.36
34.495	-5.94	1.44	-0.36
34.551	-6.3	1.08	-0.18
34.606	-5.04	0.54	0.18
34.657	-3.06	0.18	0.36
34.708	-0.36	-0.36	0.54
34.767	2.7	-0.9	0.54
34.821	5.04	-1.26	0.36
34.876	6.3	-1.44	0.18
34.93	6.3	-1.44	0
34.985	5.04	-1.44	-0.36
35.044	2.52	-1.26	-0.72
35.099	-0.36	-0.9	-0.9
35.159	-3.42	-0.36	-0.9
35.221	-5.76	0.18	-0.72
35.277	-6.48	0.54	-0.36
35.336	-5.76	0.72	0
35.388	-3.96	1.08	0.36
35.441	-1.44	1.08	0.72
35.494	1.62	1.08	0.9
35.543	4.14	1.08	0.9
35.596	6.12	0.9	0.9
35.649	7.2	0.72	0.72
35.7	7.02	0.54	0.36
35.749	5.58	0.36	0
35.802	3.06	0.18	-0.36
35.856	0.18	0	-0.72
35.911	-2.88	-0.18	-0.9
35.971	-5.58	-0.54	-0.9
36.032	-6.66	-0.72	-0.72
36.092	-6.48	-0.9	-0.54
36.151	-4.68	-1.08	-0.18
36.21	-1.8	-1.08	0.18
36.267	1.44	-1.08	0.54
36.321	3.96	-0.9	0.54
36.373	5.76	-0.72	0.54
36.425	6.48	-0.36	0.36
36.477	6.12	0	0.18
36.527	4.68	0.36	0
36.578	2.34	0.72	-0.18
36.634	-0.36	1.08	-0.36
36.689	-3.06	1.44	-0.54
36.746	-5.04	1.44	-0.54
36.802	-5.94	1.44	-0.36
36.858	-5.4	1.26	0
36.91	-3.78	0.9	0.18
36.963	-1.44	0.36	0.36
37.018	1.44	0	0.54
37.07	3.6	-0.54	0.54
37.124	5.4	-0.9	0.54
37.177	6.12	-1.26	0.18
37.229	5.76	-1.44	0
37.279	4.32	-1.44	-0.36
37.337	1.62	-1.26	-0.72
37.392	-1.08	-1.08	-0.9
37.45	-3.96	-0.72	-0.9
37.51	-5.76	-0.36	-0.72
37.57	-6.3	0	-0.54
37.627	-5.4	0.36	-0.18
37.683	-3.42	0.54	0.18
37.737	-0.72	0.72	0.54
37.792	2.34	0.9	0.9
37.844	4.68	0.9	0.9
37.895	6.3	0.9	0.9
37.948	6.84	0.9	0.72
37.999	6.3	0.72	0.36
38.049	4.68	0.72	0.18
38.099	2.34	0.54	-0.18
38.151	-0.54	0.36	-0.54
38.206	-3.24	0.18	-0.72
38.262	-5.4	-0.18	-0.72
38.319	-6.3	-0.36	-0.72
38.378	-5.94	-0.72	-0.54
38.437	-3.96	-0.9	-0.18
38.496	-1.44	-1.08	0.18
38.552	1.62	-1.26	0.36
38.606	3.96	-1.26	0.36
38.657	5.4	-1.08	0.36
38.709	5.94	-0.9	0.36
38.763	5.58	-0.36	0.18
38.816	3.96	0	0
38.866	1.8	0.36	-0.18
38.921	-0.9	0.9	-0.36
38.976	-3.24	1.26	-0.54
39.03	-4.86	1.44	-0.36
39.085	-5.58	1.44	-0.18
39.141	-4.86	1.26	0
39.192	-3.42	1.08	0.18
39.246	-1.08	0.72	0.36
39.3	1.44	0.36	0.54
39.35	3.6	0	0.54
39.403	5.22	-0.36	0.54
39.454	5.94	-0.72	0.36
39.506	5.58	-1.08	0.18
39.56	4.14	-1.08	-0.18
39.616	1.62	-1.08	-0.54
39.671	-1.08	-1.08	-0.72
39.73	-3.78	-0.9	-0.9
39.789	-5.58	-0.72	-0.9
39.846	-6.12	-0.36	-0.72
39.904	-5.4	-0.18	-0.36
39.962	-3.42	0.18	0
40.015	-0.9	0.36	0.36
40.068	1.98	0.36	0.54
40.12	4.14	0.54	0.72
40.172	5.76	0.72	0.72
40.223	6.3	0.72	0.72
40.274	5.94	0.9	0.54
40.326	4.5	0.9	0.18
40.377	2.34	0.9	0
40.431	-0.36	0.72	-0.36
40.486	-2.88	0.54	-0.54
40.543	-4.86	0.36	-0.54
40.599	-5.76	0	-0.54
40.654	-5.4	-0.36	-0.54
40.713	-3.78	-0.72	-0.18
40.772	-1.44	-1.08	0
40.827	1.26	-1.26	0.18
40.88	3.42	-1.26	0.36
40.934	5.04	-1.26	0.36
40.992	5.58	-1.08	0.18
41.045	5.04	-0.9	0.18
41.1	3.42	-0.36	0
41.153	1.26	0	-0.18
41.205	-1.26	0.54	-0.36
41.263	-3.42	0.9	-0.54
41.319	-4.86	1.08	-0.36
41.374	-5.22	1.26	-0.18
41.43	-4.32	1.26	0
41.483	-2.7	1.26	0.18
41.535	-0.36	0.9	0.36
41.588	1.98	0.72	0.54
41.638	3.96	0.36	0.72
41.689	5.4	0	0.54
41.741	5.76	-0.36	0.36
41.796	5.22	-0.54	0.18
41.851	3.6	-0.72	-0.18
41.905	1.26	-0.9	-0.54
41.961	-1.44	-0.9	-0.72
42.02	-3.96	-0.9	-0.9
42.079	-5.58	-0.9	-0.9
42.139	-5.94	-0.72	-0.72
42.198	-4.86	-0.54	-0.36
42.256	-2.7	-0.36	0
42.31	-0.18	-0.18	0.36
42.365	2.52	0	0.54
42.415	4.32	0.18	0.72
42.465	5.76	0.36	0.72
42.516	5.94	0.54	0.72
42.569	5.4	0.72	0.54
42.621	3.78	0.9	0.18
42.673	1.44	1.08	0
42.723	-0.9	1.08	-0.36
42.782	-3.24	0.9	-0.54
42.84	-4.86	0.72	-0.54
42.897	-5.4	0.36	-0.54
42.956	-4.5	0	-0.36
43.015	-2.7	-0.54	-0.18
43.073	-0.18	-0.9	0
43.128	2.16	-1.08	0.18
43.181	3.96	-1.26	0.36
43.233	5.04	-1.26	0.36
43.285	5.22	-1.26	0.18
43.337	4.32	-1.08	0
43.39	2.7	-0.72	-0.18
43.446	0.36	-0.36	-0.36
43.502	-1.98	0.18	-0.54
43.561	-3.96	0.54	-0.54
43.617	-5.04	0.9	-0.36
43.671	-4.86	1.08	-0.18
43.728	-3.78	1.08	0
43.781	-1.8	1.08	0.18
43.833	0.54	1.08	0.54
43.886	2.88	0.72	0.72
43.937	4.5	0.54	0.72
43.987	5.58	0.18	0.54
44.038	5.58	0	0.36
44.091	4.68	-0.18	0.18
