#﻿MIN=0	-90	-90	-90
#MAX=113.137084989848	90	90	90
#SCALE=113.137084989848	45	45	45
#DEC=2	1	1	1
#DEF="Tiempo" t / s	"Angulo" &a_A1 / °	"Angulo" &a_B1 / °	"Angulo" &a_A1 / °
0	0.72	0	0.18
0.052	0.72	0.18	0
0.104	0.54	0.18	0
0.153	0.36	0.18	0
0.202	0.54	0.18	0
0.25	0.54	0.18	0.18
0.3	0.9	0.18	0.18
0.352	1.08	0.18	0.18
0.402	1.44	0.18	0.36
0.453	1.8	0.18	0.36
0.503	2.34	0	0.36
0.555	2.88	0	0.54
0.607	3.42	0	0.54
0.657	3.78	0	0.54
0.709	4.14	0	0.54
0.76	4.68	0.18	0.54
0.809	5.4	0.18	0.54
0.86	6.12	0.18	0.54
0.91	6.84	0.18	0.36
0.959	7.38	0.18	0.36
1.008	8.1	0.18	0.36
1.062	8.64	0.18	0.36
1.112	9.18	0.18	0.54
1.163	9.36	0.18	0.54
1.213	9.72	0.18	0.54
1.262	9.9	0.18	0.54
1.314	10.26	0.18	0.72
1.366	10.44	0.18	0.72
1.418	10.8	0.18	0.72
1.469	11.16	0.18	0.72
1.521	11.7	0.18	0.72
1.572	12.06	0.18	0.72
1.621	12.42	0.18	0.72
1.673	12.78	0.18	0.54
1.724	12.78	0.18	0.54
1.775	12.78	0.18	0.54
1.825	12.78	0.18	0.54
1.876	12.78	0.18	0.54
1.929	12.78	0.18	0.54
1.98	12.78	0.18	0.72
2.034	12.96	0.18	0.72
2.083	12.96	0.36	0.72
2.136	13.14	0.36	0.72
2.185	13.32	0.54	0.72
2.237	13.5	0.54	0.9
2.287	13.5	0.54	0.9
2.342	13.5	0.54	0.9
2.394	13.5	0.54	1.08
2.448	13.32	0.54	1.08
2.497	13.14	0.54	1.08
2.546	13.14	0.54	1.08
2.597	13.14	0.54	1.26
2.649	13.32	0.54	1.26
2.7	13.5	0.54	1.26
2.753	13.5	0.54	1.26
2.804	13.5	0.54	1.08
2.855	13.32	0.54	1.08
2.904	13.14	0.54	1.08
2.954	12.96	0.54	1.26
3.003	12.96	0.54	1.26
3.054	12.96	0.54	1.26
3.105	12.78	0.54	1.26
3.158	12.78	0.54	1.08
3.21	12.78	0.54	1.08
3.263	12.78	0.72	0.9
3.314	12.78	0.72	0.9
3.368	12.78	0.72	0.9
3.419	12.78	0.72	0.9
3.469	12.78	0.72	0.9
3.519	12.6	0.72	1.08
3.568	12.42	0.72	0.9
3.618	12.24	0.72	0.9
3.669	12.24	0.72	0.9
3.718	12.24	0.72	0.9
3.771	12.42	0.72	0.9
3.823	12.6	0.72	0.9
3.874	12.78	0.72	1.08
3.927	12.96	0.72	1.08
3.979	12.96	0.9	1.08
4.03	12.96	0.9	1.08
4.08	12.78	0.9	1.08
4.132	12.78	0.72	1.08
4.183	12.78	0.72	1.08
4.234	12.78	0.72	1.08
4.283	12.78	0.72	1.08
4.335	12.96	0.72	0.9
4.387	12.96	0.72	0.9
4.437	12.96	0.72	0.9
4.487	12.96	0.72	0.9
4.538	12.96	0.72	0.72
